information_ratio,stake,law_years,median_years,power_at_8_2_years
1.0,learned online,14.570350486500429,5.7904109589041095,0.2
1.0,pre-committed,5.991464547107982,5.671232876712328,0.47
2.0,learned online,3.2689582791813363,3.032876712328767,0.97
2.0,pre-committed,1.4978661367769954,1.9287671232876713,0.97
3.0,learned online,1.3550197470540906,1.5315068493150685,1.0
3.0,pre-committed,0.665718283011998,0.8890410958904109,1.0
4.0,learned online,0.7229326518438066,0.7890410958904109,1.0
4.0,pre-committed,0.37446653419424886,0.5945205479452055,1.0
