asset,h,model,benchmark,n,cw,p_cw,wcw_01,p_wcw_01,rejfrac_01,wcw_02,p_wcw_02,rejfrac_02,wcw_04,p_wcw_04,rejfrac_04,holm_cw,bh_cw,holm_wcw,bh_wcw
BTC,1,ridge,zero,2186,2.6216037230150735,0.0043758563333050615,2.6216896710826614,0.004374753051700875,1.0,2.6215549277282513,0.0043764828098863395,1.0,2.621870573425988,0.004372431691479717,1.0,0.07876541399949111,0.04582209650511493,0.07877669057795411,0.04591668991869202
BTC,1,ridge,recursive_mean,2186,2.664806011433384,0.003851637247901496,2.664899053957143,0.0038505717964666397,1.0,2.665264279046774,0.0038463920725171352,1.0,2.6645977911520284,0.003854022583748451,1.0,0.06894135176773575,0.034664735231113464,0.06886715297425239,0.03461752865265422
BTC,1,elastic_net,zero,2186,2.5695629789615224,0.005091344056123881,2.5696678399253,0.005089803358815925,1.0,2.5688483877778037,0.005101854435410225,1.0,2.5690648787874695,0.005098668195829381,1.0,0.08655284895410598,0.04582209650511493,0.08673152540197382,0.04591668991869202
BTC,1,elastic_net,recursive_mean,2186,2.666693472622694,0.0038300750982075416,2.6667065776887147,0.00382992576634289,1.0,2.667055393005941,0.0038259529430140216,1.0,2.666927458909269,0.0038274096160595406,1.0,0.06894135176773575,0.034664735231113464,0.06886715297425239,0.03461752865265422
BTC,1,gbm,zero,2186,2.0165282456570224,0.021872383847031163,2.0163660657664044,0.021880855605167837,1.0,2.016645378855892,0.02186626690672222,1.0,2.0151936453576442,0.021942181552978668,1.0,0.3499581415524986,0.13123430308218698,0.3498602705075555,0.13119760144033332
BTC,1,gbm,recursive_mean,2186,1.7469011757920507,0.04032724092473439,1.7465973517087006,0.040353603458857856,1.0,1.7468229666546553,0.04033402572195621,1.0,1.7454186707280546,0.040456009005440996,1.0,0.5118701821275486,0.10369861952074556,0.512232118014844,0.10371606614217312
BTC,7,ridge,zero,2174,1.644477647366031,0.050038788887295294,1.6445562482072027,0.050030677849111194,0.428,1.6441814720533001,0.050069361456456796,0.43,1.6447575013699869,0.05000991475719063,0.486,0.6505042555348388,0.15011636666188588,0.6509016989339383,0.1502080843693704
BTC,7,ridge,recursive_mean,2174,1.363837437868542,0.08630936728128424,1.3638687658723718,0.08630443635817553,0.0,1.3639532614556655,0.08629113808613864,0.0,1.3641846820862455,0.08625472397547518,0.0,0.7767843055315582,0.14815812295219893,0.7766202427752478,0.14811943785208692
BTC,7,elastic_net,zero,2174,1.762753794748686,0.038971011714817316,1.7629494721719987,0.03895450601056616,1.0,1.7628358537383777,0.03896408921433103,1.0,1.761975135470184,0.03903674929989165,1.0,0.5455941640074424,0.14029564217334234,0.5454972490006345,0.14027072117159173
BTC,7,elastic_net,recursive_mean,2174,1.5430765605248082,0.06140610055141815,1.543128271097143,0.061399828263491774,0.0,1.5432415069580312,0.06138609494929059,0.0,1.5426972832561172,0.061452120683995526,0.0,0.6754671060655997,0.13816372624069084,0.6752470444421965,0.13811871363590383
BTC,7,gbm,zero,2174,1.253965524541831,0.10492726830700438,1.2539855963473263,0.10492362041221048,0.0,1.253748184009008,0.10496677414117861,0.0,1.2543391644992727,0.10485937719880756,0.0,1.0,0.20985453661400877,1.0,0.20993354828235722
BTC,7,gbm,recursive_mean,2174,1.0225639737088832,0.15325702529154106,1.022676881789575,0.15323032273691584,0.0,1.0221721689839174,0.15334971030528854,0.0,1.022744329377144,0.15321437297677032,0.0,0.8338279630826761,0.19704474680340994,0.8341017486736972,0.1971639132496567
ETH,1,ridge,zero,2186,1.8634804389899853,0.031197351061843848,1.8635467329464617,0.031192691978303988,1.0,1.8632011805466822,0.031216983430405132,1.0,1.8623869889369433,0.03127428089443929,1.0,0.4679602659276577,0.14029564217334234,0.468254751456077,0.14027072117159173
ETH,1,ridge,recursive_mean,2186,1.7579897181876658,0.03937462939442682,1.7579103454297815,0.03938138263530566,1.0,1.7576625636581817,0.039402470616526464,1.0,1.7577551954721358,0.03939458591898659,1.0,0.5118701821275486,0.10369861952074556,0.512232118014844,0.10371606614217312
ETH,1,elastic_net,zero,2186,1.3700035282803469,0.0853429001303756,1.3705168868018611,0.08526280384872398,0.0,1.3696803761192329,0.08539334854304892,0.0,1.3697160850886725,0.08538777279355092,0.0,0.9387719014341316,0.1920215252933451,0.9393268339735381,0.19213503422186007
ETH,1,elastic_net,recursive_mean,2186,1.2496173048071983,0.10571968931350217,1.2494779758276673,0.10574515201539447,0.0,1.2493620309437152,0.10576634459781276,0.0,1.2493333132685944,0.10577159413256987,0.0,0.7767843055315582,0.15857953397025326,0.7766202427752478,0.15864951689671913
ETH,1,gbm,zero,2186,1.4185459931658393,0.07801571033925903,1.4188280872739416,0.0779745709621622,0.0,1.4182066269123363,0.07806522385666481,0.0,1.4199087649920576,0.07781712193139712,0.0,0.9361885240711083,0.1920215252933451,0.9367826862799777,0.19213503422186007
ETH,1,gbm,recursive_mean,2186,1.0849525888524219,0.13897132718044602,1.0852529277489023,0.13890482405395654,0.0,1.0847465687695874,0.13901695811228287,0.0,1.0815102745460123,0.13973509639836523,0.0,0.8338279630826761,0.19242183763446372,0.8341017486736972,0.19248501892469935
ETH,7,ridge,zero,2174,-0.7897632104036146,0.7851669659123899,-0.789566273080414,0.7851094442401227,0.0,-0.789630629228051,0.7851282424392387,0.0,-0.7891142429557965,0.7849773809514773,0.0,1.0,0.9233807963653108,1.0,0.9234092623912632
ETH,7,ridge,recursive_mean,2174,-1.6246597675315513,0.9478824627853877,-1.6247658195353039,0.9478937666561463,0.0,-1.6250442905410398,0.9479234390525147,0.0,-1.6239287316913045,0.9478044901383464,0.0,1.0,0.9639198902497221,1.0,0.9639421446966198
ETH,7,elastic_net,zero,2174,-0.9814269198223756,0.8368088717829653,-0.9812845510245802,0.8367737804987948,0.0,-0.9818499667699481,0.8369131161274752,0.0,-0.980167193670985,0.8364982022764322,0.0,1.0,0.9233807963653108,1.0,0.9234092623912632
ETH,7,elastic_net,recursive_mean,2174,-1.7981059501930416,0.963919890249722,-1.7980917112459092,0.9639187622310229,0.0,-1.7983869420009395,0.9639421446966198,0.0,-1.7990664634538764,0.9639959160811169,0.0,1.0,0.9639198902497221,1.0,0.9639421446966198
ETH,7,gbm,zero,2174,0.5496832739115617,0.2912683155135364,0.5498002976451019,0.29122817724463645,0.0,0.5486738420343911,0.29161465028213596,0.0,0.5510453021700974,0.2908013099259481,0.0,1.0,0.4766208799312413,1.0,0.47718760955258605
ETH,7,gbm,recursive_mean,2174,-0.35612007873907336,0.6391246795034549,-0.35605430639018654,0.6391000520468518,0.0,-0.3563715291424766,0.6392188259672382,0.0,-0.3544852374081192,0.6385123672237016,0.0,1.0,0.7190152644413867,1.0,0.719121179213143
SOL,1,ridge,zero,1721,0.3082951899535226,0.37892886289115113,0.3080946048949576,0.37900517318232074,0.0,0.30935514266347364,0.3785256944246437,0.0,0.30872068816359655,0.37876700258960017,0.0,1.0,0.5683932943367267,1.0,0.5677885416369656
