rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_wcw_zero,ridge_wcw_mean,ridge_wcw_mean_nw,ridge_dm_zero,elastic_net_cw_zero,elastic_net_cw_mean,elastic_net_cw_mean_nw,elastic_net_wcw_zero,elastic_net_wcw_mean,elastic_net_wcw_mean_nw,elastic_net_dm_zero,gbm_cw_zero,gbm_cw_mean,gbm_cw_mean_nw,gbm_wcw_zero,gbm_wcw_mean,gbm_wcw_mean_nw,gbm_dm_zero,mean_cw_zero
0,-0.28288436380610144,-0.4546603453326935,-0.48818762300242213,-0.31659062942734006,-0.4513590388594072,-0.4778227945121188,2.33162167251057,0.09994893879313846,-0.7750942273322613,-0.7726821922914575,0.02474430522069819,-0.7564013280006591,-0.7612618877422758,1.3559183937292927,0.138951220590567,-1.765575074124833,-1.868814593410773,0.13312473873325514,-1.805453510188524,-1.8250360564458585,1.1564625718909818,1.5182511822755782
1,1.1016275013478323,-0.6162845227697201,-0.6447550530987376,1.0977338297258323,-0.6102954999331408,-0.640948639974978,1.135572285456165,1.8974604704053653,-1.8722955311311116,-1.7765695865851783,1.8792820112054172,-1.8929473351763801,-1.7726128307525741,-0.4178922047385888,1.8429495414704484,-0.2953023224117287,-0.324639323130486,1.8433176908453042,-0.29486701038926644,-0.3546505857475764,-0.28801418080330793,3.67777450657404
2,3.0191937895813927,1.3430300702917113,1.4206956783622788,3.017169991743486,1.3401861682306007,1.408329510140825,-0.09357422359883506,3.613885049106387,1.434011454953745,1.601316108043114,3.6091213054321996,1.4355801346387942,1.591794907245844,-1.1079315321405458,3.2755504591442577,0.9585441007301092,1.031931109604876,3.2699258331685916,0.9602664699710459,1.0087857857208884,-0.18218144163720998,3.7316157635461358
3,0.868140545548034,-1.476678296658274,-2.1894616345660367,0.8744788434962695,-1.4793611090395684,-2.192732144008991,1.6886693001685449,2.2963214412137227,-1.014366442078881,-1.7432860719729133,2.29586066781989,-1.014231750916261,-1.749769712990519,-0.09427747116174473,4.207974344469618,0.7801250157818569,0.9455259107402332,4.192756351621163,0.7747526720550845,0.8918889848433867,-1.6479938480856198,4.603650908292847
4,-1.0002071629345513,-0.9009089973351371,-0.909651958376526,-1.0012025354373622,-0.9090420859093634,-0.9121395809913116,3.31486589781713,-1.4277870049668089,-1.3988002444093441,-1.3379225748355543,-1.3996642820079508,-1.3740375030282104,-1.3643675216181808,2.395629673480001,-0.4232324490678815,-0.17971009821775413,-0.17995277296102108,-0.4501879111203366,-0.13606765085955627,-0.16276689858888807,1.682532698840702,-0.2957486870418935
5,2.189064921330318,2.251979487403238,1.9639609647789043,2.1706683618017686,2.2594428251480587,1.966441249838103,0.5194478859597068,2.3600514125032253,2.4601406064751443,2.156451121734636,2.368564199857311,2.4740325869229385,2.1612223215672866,-0.661465366691626,0.775488528856703,0.8895824222626559,0.7435266227479087,0.7574268834386155,0.8964172323000499,0.7246501318443809,0.8001612679883476,-1.331485911784697
6,0.7751005762817299,-0.1668804813645517,-0.16171578514736026,0.7758888623213771,-0.16771715538736923,-0.1579046813357713,1.8522926621019118,1.12826079302694,-0.18806753107750954,-0.17793268430729992,1.129983300027102,-0.1569187308544231,-0.1636649142429401,0.8901539902978495,1.5761429362984583,0.907264191027939,0.9771760223448596,1.5667516521500346,0.9066725906740771,0.9786347863011056,0.39504353606802306,1.3358701162792728
7,-0.5243300526537789,-0.44080189288607197,-0.4208748253323074,-0.5212918761274469,-0.41672009204146143,-0.42433659450668054,2.6983358120399807,-1.0511770080402671,-0.900078427780414,-0.8829672565045992,-1.055644165166721,-0.9258545727411616,-0.9137778460558432,2.189359008453278,0.23798913885281944,0.44632923926016926,0.497956730014707,0.21674933623299916,0.44281853465256593,0.41321184644567194,1.3464900937709599,-0.9536756113269685
8,0.136244998817744,-0.23567434710548732,-0.25012322071290727,0.1211244935806511,-0.22554344268311713,-0.25456200743121526,1.623675982136949,0.5461025937584911,0.1413561669008294,0.14628829991485462,0.541621112924652,0.120017632543948,0.19227212611126485,0.44345212274458834,1.4239802225342475,1.2768357625363436,1.1551303004043973,1.4421456804492157,1.300544178192785,1.1649999427819169,0.5121457900195473,0.7062817492524247
9,2.2504790723604295,0.6344669485026692,0.7054382181659016,2.2546425924055202,0.6215271986607317,0.6847967412985674,0.2827138914703373,1.7577101721051858,-1.2206593671657837,-1.4192680250489107,1.7467981032226472,-1.2098147774680794,-1.4140574906147498,0.0446461633695743,1.846192120320121,-0.5952323282492251,-0.6015897808590864,1.835574888134613,-0.5846304860335394,-0.6151239296793413,0.0792280800548962,3.5012977768020934
