rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_wcw_zero,ridge_wcw_mean,ridge_wcw_mean_nw,ridge_dm_zero,elastic_net_cw_zero,elastic_net_cw_mean,elastic_net_cw_mean_nw,elastic_net_wcw_zero,elastic_net_wcw_mean,elastic_net_wcw_mean_nw,elastic_net_dm_zero,gbm_cw_zero,gbm_cw_mean,gbm_cw_mean_nw,gbm_wcw_zero,gbm_wcw_mean,gbm_wcw_mean_nw,gbm_dm_zero,mean_cw_zero
0,-0.38900538172220633,-1.0815691795059896,-0.9864505244257777,-0.39110486278456535,-1.1179752074951959,-0.922263574361755,2.603794717340765,0.30331604208646973,-1.1049190635389172,-1.005857061469906,0.25176114831570884,-0.9696698775221105,-1.0109336535071536,0.8135947374565443,-0.42700905132344186,-1.3086349743741281,-0.961934012867314,-0.5501532913875276,-1.3399457326072628,-0.8829397285196128,1.5967464085543681,1.2473324877495975
1,-1.5143320036896135,-1.5424119354322814,-1.3106096210065108,-1.5049300234199352,-1.5428263091858758,-1.3164182247693874,3.541381998472376,-1.5460668648195433,-1.6063904495945092,-1.3486517085579737,-1.5091599390681496,-1.613190276420399,-1.353418185881299,2.802684122517952,0.5131923439598237,0.6255691850704149,0.6364357593626565,0.5675054199842453,0.6298587239048569,0.6492777377924428,0.5871397039235123,-0.12660087924847577
2,0.38851471212181105,0.5115741003431948,0.5127721865596983,0.41968812868621924,0.4316675080166028,0.5324757063566232,2.594174601979913,-1.4266269219114567,-1.384835009432022,-1.337807947382816,-1.3861952980617087,-1.4337655630475172,-1.3087461280806316,2.539046801308277,0.4693877189150423,0.5129312390225652,0.5966047178527394,0.40003850831526755,0.4507851670885323,0.5041093984813186,1.665945934591891,-0.2817972515016255
3,-1.0143450001535397,-0.9973996559706011,-0.9552050825588557,-1.0204499247696284,-1.0019524330993415,-0.9713156309469722,3.6664038487360213,0.21598022196495376,0.24814557824797892,0.248561917485066,0.22601783300439085,0.2811935241206034,0.21310657933987825,1.3574517350894044,-0.0106665752880167,0.04377376353478773,0.041050928193901506,0.0025104070893733833,0.05172214291287008,0.011619184233169898,1.7110654858931154,-0.08924764146843636
4,0.18792339099221755,-0.5991862376107452,-0.5956466937698902,0.1875113748537264,-0.595233709369299,-0.5946266557696205,2.231986666658383,0.6494660904448016,-1.1372579212850493,-1.1303509852148586,0.6606468254644121,-1.1547073255343494,-1.116938250169646,0.5511483362929536,-0.14204671830800594,-2.061824889926217,-1.9912560439118723,-0.12224947758891674,-2.0390391338613196,-1.991719825251665,1.5078833821757576,1.4226603547780157
5,-0.8515844888852315,-0.7499260208052723,-0.7515722288906506,-0.9142796694064074,-0.6990721613602234,-0.792857437147059,3.836113734146587,-0.8781478530662763,-0.6715997931716918,-0.693712080508858,-0.8585987190830197,-0.6868573223754739,-0.6669760400081781,2.7624180361006805,-0.06207869793390636,0.36143208263515986,0.45063498014245,-0.07055510635286125,0.3383400572806914,0.49465529995920793,0.9323579116456359,-1.2183570643204196
6,0.28146889260561253,-0.15080117507407137,-0.15997776945318595,0.2920703736409873,-0.15531381472884223,-0.13179290195381888,2.373192424424974,0.09853015434091404,-0.28581840047729007,-0.2826270554014785,0.12979595781548633,-0.23844598939233108,-0.27620674314830357,1.730579990558186,0.5268591050598053,0.2054768645206381,0.2222041395116028,0.4987479803832929,0.20211569014063324,0.2115936605345609,2.025687420478154,0.3207365860518823
7,0.7227567079330744,-0.6422006052607422,-0.6382304586863786,0.7081697187235562,-0.6708029408646884,-0.6189673445681244,1.4762865343386997,1.4385266628158995,-0.9851354811183433,-1.0138999306029832,1.4458132930747198,-0.9680585309204414,-1.0041740364851695,0.07420032819894427,1.084073228659766,-0.7726125839952916,-0.7823179332635912,1.0985668410853122,-0.7630543288064946,-0.7338761634434932,0.8153314505248241,2.5953939643218265
8,-1.5258728642044017,-1.068057762567805,-1.0538426986654184,-1.5266816127214167,-1.0632950409095157,-1.0460861679024287,3.2991420350518275,-2.129165310498889,-0.916473798269016,-0.9580134369065169,-2.1614367169220308,-0.9210617281905742,-0.9254346174007513,2.7837112712821312,-1.3198417061862135,-0.8470643492196128,-1.0034138483649515,-1.2835894914472412,-0.8355249602176703,-1.01100539682151,2.6844834148049173,-1.8453744521975421
9,0.8915178429149155,0.957917530131828,0.8614610787586028,0.927672856634582,0.9356432568747197,0.8409800463602581,1.6197969423272374,0.0011417529612315507,0.133436255089543,0.13688407810817874,-0.006019914039439464,0.11020782484834506,0.13556807478917138,1.2566252890773904,0.4407031484638476,0.6160804424783256,0.6109726795669217,0.5159883463385135,0.6136100131824962,0.638775790223384,0.7825178825403781,-1.5477708579974823
10,1.6425945351252051,1.4120716919198943,1.3773819582366598,1.667089439377355,1.4279958140718156,1.3559252586425188,0.816767793722842,1.3419891855752095,1.0403642293153246,1.007086203460868,1.345755946909325,1.0640885183298354,0.9558219788630321,0.018414128141509927,0.15196146668328459,-0.3170988992915287,-0.3495127889222857,0.21832316338897467,-0.10772759789602743,-0.47865110273333505,1.2665481468526225,0.385949732060965
11,0.3888351189399217,0.6719028662820854,0.6559178767272426,0.38420189358098517,0.6572718227795876,0.6435893979816089,2.5235149309371083,0.23245056987323884,0.7863232614360117,0.7540343285078867,0.22540476303549942,0.7671215434760608,0.7520177666880606,0.9271638375787418,-2.2611062030217797,-2.0216459099361845,-1.6510885393469652,-2.255788007251506,-2.012043320748696,-1.656414273708035,3.4270758699817887,-0.9807143637944203
12,0.7494879974807682,0.7390946098712364,0.824306304829225,0.7671231406931664,0.761724296417017,0.8200556644740059,1.8671348815590074,0.8627231636042441,0.8605396337286056,0.9580349006588417,0.8474964200581437,0.8421264011304272,0.9910082408179137,0.7600240313170755,0.7344668444749148,0.8147861736280536,0.8940728101227293,0.7137634533726894,0.8064910983743527,0.8838606766011088,0.8481283350561475,0.32757544555638773
13,1.679133290170308,1.4581022008249427,1.5304632578328854,1.6716352310275133,1.4656753042067514,1.5517244774189414,1.1208046296720948,1.9137432897991569,1.6270906417079085,1.7202478664083305,1.8820671465767034,1.6212049777029192,1.6199548470643073,0.19566296002290534,1.481579063180808,0.8838269561932274,0.9575179042033842,1.4482358487483575,0.8065233318865159,0.9282239060183665,0.5153275741179849,1.1115206684840102
14,0.8000203455866628,0.03699083068435002,0.03713870566194857,0.805640738109949,0.058126902549630786,0.0373141660371168,1.7528601970922344,0.8829801197064538,-1.0866692320822324,-1.0058179792227118,0.8983759631852316,-1.1136650653291025,-0.9808876523691349,0.7256795901281997,1.3583096028784671,-0.008551984413132737,-0.009294334773277155,1.3322732542383207,0.009694278462011562,-0.0018247065602483962,0.4655262710752253,1.7374775404167386
15,0.7974208881033585,0.9783666400498368,0.968988603059757,0.7821452101134045,1.0016144467917945,0.9569518436038019,1.5840012781602983,0.5491237999561774,1.0418206247342283,1.0409935962403536,0.5673882257296714,1.0305019603054657,1.067822160657318,0.6076597142783895,-0.20930020845013553,0.2573705925435763,0.2627144307545446,-0.20778891197792215,0.27450406544475586,0.2578085431514188,2.0797893606070406,-0.6568620132429104
16,-0.6427810363288229,-1.3867775301073497,-1.4240919232701814,-0.655807040024377,-1.405982349962436,-1.4340005908487035,2.818087737219257,-0.48553320786828297,-1.8485278043501494,-2.078436935833791,-0.45196782853995576,-1.8630367437158737,-2.098874554911111,1.8696021399331582,-0.39341577736242067,-1.8838072055294373,-1.6264697691617873,-0.41357226452868373,-1.956354018838876,-1.6338493583411666,1.721471609827223,0.8965295327923987
17,1.8777080475809989,1.4369450771703716,1.3873320946652647,1.8263734200273312,1.4588054196304086,1.3931518312946025,0.5803063671285388,1.883824145032847,1.1535964151998728,1.2042517467277685,1.9956978597644195,1.1779342367451944,1.2901400399239806,-0.6395648577105815,0.08734801854830442,-0.4760698216539343,-0.46622971146377956,0.07664464214627978,-0.47241507365744917,-0.4984904303423186,1.401626134746052,1.290293187717549
18,-0.4668665637484388,-0.2427932654890379,-0.22285932328614005,-0.48053987415162547,-0.24507288339660158,-0.25998082126630284,2.6196263575691514,-1.3792799806340934,-0.8948149790612214,-0.948941660451933,-1.4263674453205644,-0.8748547897114066,-0.8857130467842705,2.3947749065412505,-1.6613906271597267,-1.1663885426476608,-1.2189300073713167,-1.6598823168044592,-1.1853429369690545,-1.1237735886671496,2.741921307809301,-1.9015054203471025
19,0.7314309576771457,0.33023835692070025,0.34277510194086735,0.7321088313225724,0.3418442929051286,0.3603025208820307,1.9196511886558882,0.7180745893606384,-0.05891564045822511,-0.05794984904888116,0.7159170796917145,-0.043525634047460786,0.010581747848702772,0.6008628606981691,0.45532755184253265,0.0004115767841802313,0.00043637439103361034,0.4792823113442315,0.0025802799752134087,0.030973116328334833,0.7265410347786148,1.299675874225821
