rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_wcw_zero,ridge_wcw_mean,ridge_wcw_mean_nw,ridge_dm_zero,elastic_net_cw_zero,elastic_net_cw_mean,elastic_net_cw_mean_nw,elastic_net_wcw_zero,elastic_net_wcw_mean,elastic_net_wcw_mean_nw,elastic_net_dm_zero,mean_cw_zero
0,0.37148858200000734,0.08904229445159334,0.07366656931389971,0.37057398001959563,0.08389147065688818,0.055790359037478546,2.04133500583501,0.4255576205028815,0.151795319546262,0.12916742363630596,0.38137060640549064,0.13674231544404464,0.15092646374429458,1.3793764795600667,0.7087155363322923
1,2.8569196502562058,0.29435242400427963,0.2784727741057943,2.8510757055272684,0.3066553784921968,0.2747889131869115,0.6275144188262374,3.509538625209156,1.0408752374500667,0.960500604376663,3.5170714108344683,1.0432167839820423,0.9687400512680668,-0.23912594538565463,4.442251825676965
2,-0.83417633403449,-0.25023725230563076,-0.24049053505396364,-0.825527792021005,-0.2720737142692031,-0.22251260112016086,2.5593089999351735,-0.984079330142538,-0.36136334375427026,-0.3636911297286935,-0.9627437278600018,-0.36083643317272546,-0.36393333284704343,2.7024990463892804,-1.956897071118709
3,0.5581266821422982,-0.24309403067908913,-0.1741205859704598,0.5649654958164869,-0.22261383903906112,-0.1798702239583797,2.422685468022968,0.7589269153147534,-0.3128351865399795,-0.23467687289609176,0.7491320664844339,-0.33265836808249444,-0.2171025495272454,1.523152662628556,2.3450511981517117
4,2.298038870391292,2.28899877029526,1.879020021024825,2.295328791423876,2.2936358717407375,1.875343470526233,0.010136514403498526,2.3260317594121145,2.334957368239974,1.9554314901173566,2.3366244171542543,2.3268256787123214,1.9538795840069276,-0.6309337868035202,0.3525492133089902
5,-0.5116807273076664,-0.6973593352008125,-0.6516737875041595,-0.5360713617374102,-0.6962104601489355,-0.6717940205866326,2.7197317765793505,-1.1712586551170374,-1.5976229342297814,-1.4535979762133828,-1.1793084744134112,-1.5949428802658854,-1.4620141244557734,2.8219308963867276,0.6270291675362485
6,0.494036322049477,-0.682987258209045,-0.6630967211428244,0.4721701438326579,-0.6924458767688992,-0.6474475697657441,2.203044377603163,1.1441067873792061,-0.4000579993534945,-0.38019847094335635,1.1423623251234196,-0.38847438971390136,-0.3838807877798035,0.9658728982087949,2.770208570974454
7,-0.6980343905161315,-0.6853297074205459,-0.908820465133679,-0.7029835499942854,-0.6834995906285045,-0.9290694526689581,2.797840231509685,-1.6315892665322396,-1.569045419404146,-1.9270961724668605,-1.6611700702591508,-1.556856430635769,-1.9210352603655014,2.855705593157132,-0.7819141633684039
8,1.3574905745647783,0.7696918999629495,0.7437282472008052,1.3369711717144415,0.7751351792215386,0.7807186837633139,0.9088419428260952,0.9291972638299304,0.11604187905093069,0.10811052079533244,0.9541331452917882,0.12777484847350035,0.09600059566554568,0.5474159371161232,1.755695355423832
9,0.3462878471628157,0.33225493780875814,0.33478149234922144,0.34855023690787895,0.32955383724278364,0.33753684839518894,2.631349104484519,0.5026637796148598,0.4943184612657778,0.5053935095888356,0.4863205599821185,0.47659884342430253,0.484987928913361,1.5659455062055887,-0.487630628632816
