asset,h,model,n,phases,evalue,evalue_designed,p_anytime,growth_nats_per_period,implied_ratio,cw_vs_mean,cw_vs_zero,value_lower,value_upper,ratio_ceiling,e_bh_reject
BTC,1,ridge,2186,1,1.0,0.9596963579649304,1.0,0.0,0.0,2.664806011433384,2.6216037230150735,-0.0014609473735038405,0.003459528157497751,2.197505247510664,False
BTC,1,elastic_net,2186,1,1.0,0.9596963579649304,1.0,0.0,0.0,2.666693472622694,2.5695629789615224,-0.0012542667654380645,0.0029473463343675094,1.8721654344587113,False
BTC,1,gbm,2186,1,1.0,0.9596963579649304,1.0,0.0,0.0,1.7469011757920507,2.0165282456570224,-0.0014015857291246117,0.0017745629608326438,1.1272090415036118,False
BTC,7,ridge,2174,7,1.8136429243543983,0.9907580362499319,0.5513764515448759,0.00024053148607774724,0.4190322002385443,1.363837437868542,1.644477647366031,-0.004577798377852422,0.007032430985088189,1.6759843885040884,False
BTC,7,elastic_net,2174,7,1.6606009315911325,0.9908444255524825,0.6021916409753144,0.00020347101655152276,0.38540088490117874,1.5430765605248082,1.762753794748686,-0.00504366321657402,0.0064569206272916645,1.5388274967927251,False
BTC,7,gbm,2174,7,1.041455169469961,1.1887671901806716,0.9601949553997037,1.6855041083137882e-05,0.11092420831671802,1.0225639737088832,1.253965524541831,-0.004291925105361369,0.010705771900033127,2.5514230583119284,False
ETH,1,ridge,2186,1,1.0466178839893396,1.3275238811372883,0.9554585444196227,2.08435052664157e-05,0.12335217405657453,1.7579897181876658,1.8634804389899853,-0.001965737075414676,0.004270847261130471,2.0035464928014663,False
ETH,1,elastic_net,2186,1,1.0971055742433087,0.9609867480197581,0.911489307389324,4.239497516806425e-05,0.17592137980554523,1.2496173048071983,1.3700035282803469,-0.0018774890431883335,0.003691727528912595,1.731868945595031,False
ETH,1,gbm,2186,1,1.0,0.9609867480197581,1.0,0.0,0.0,1.0849525888524219,1.4185459931658393,-0.0029795990723010864,0.004006402037852072,1.879489539404989,False
ETH,7,ridge,2174,7,1.1167707988456061,1.0078318683547098,0.8954388859680869,4.477396362889058e-05,0.18078991523060717,-1.6246597675315513,-0.7897632104036146,-0.008719341474955261,0.0039288292258488604,0.700674015891006,False
ETH,7,elastic_net,2174,7,1.1071122836588116,1.0077373280018755,0.9032507495040843,4.192324610073447e-05,0.17493990297681133,-1.7981059501930416,-0.9814269198223756,-0.008878135860218808,0.003507409599659764,0.6255173305572463,False
ETH,7,gbm,2174,7,1.0256491212040988,1.0097777146440063,0.9749923042160977,1.1179916484057418e-05,0.09034012969529054,-0.35612007873907336,0.5496832739115617,-0.01378588093326509,0.004394146063239077,0.7836594037441678,False
SOL,1,ridge,1721,1,1.8226312713024264,0.9831991146155412,0.5486573262212352,0.0003487979142685956,0.504601305404648,1.3374305121315444,0.3082951899535226,-0.005016668000752388,0.006235986062569487,2.3901608876774305,False
SOL,1,elastic_net,1721,1,1.0,1.5838080315038485,1.0,0.0,0.0,1.4260791568859532,0.14761316804610833,-0.00477302274288504,0.006359613034688424,2.4375452709098266,False
SOL,1,gbm,1721,1,1.2043386846058879,1.2167701771364632,0.8303312122928639,0.00010803637817309276,0.2808319000155746,1.8703459871446073,0.8174495018821133,-0.0031386629836957338,0.004636869497184972,1.7772432462540544,False
SOL,7,ridge,1709,7,1.106867334855926,1.1077309749879989,0.9034506381292423,5.400544290294397e-05,0.19855471114820997,2.005867105920081,-1.428185728517564,-0.007503158858597736,0.013119158791541515,1.8643892589219,False
SOL,7,elastic_net,1709,7,1.106867334855926,1.1080301369479577,0.9034506381292423,5.400544290294397e-05,0.19855471114820997,2.2807235389106912,-1.4137288596657687,-0.006807565527865381,0.013708400827707416,1.9481275946329728,False
SOL,7,gbm,1709,7,1.137170002044393,1.120992383410654,0.8793759932131607,7.009525518620385e-05,0.22620684402981447,0.37385331045188186,-1.3934203388389117,-0.006933237989426102,0.007135711623107166,1.0140699046544548,False
