asset,h,model,n,cw_zero,p_zero,cw_zero_nwlag,p_zero_nw,cw_mean,p_mean,cw_mean_nwlag,p_mean_nw,cw_mean_cube,p_mean_cube,drift_share,lag_paper,lag_nw,lag_cube,holm_zero,bh_zero,holm_mean,bh_mean,holm_mean_nw,bh_mean_nw
BTC,1,ridge,2186,2.6216037230150735,0.0043758563333050615,3.3285283772261014,0.00043653055120573825,2.664806011433384,0.003851637247901496,3.328793459488356,0.00043611530765308437,3.4157938688171003,0.0003179818392359257,0.08990186403257283,0.0,7.0,13.0,0.07876541399949111,0.04582209650511493,0.06894135176773575,0.034664735231113464,0.007850075537755519,0.007850075537755519
BTC,1,elastic_net,2186,2.5695629789615224,0.005091344056123881,2.675605205014519,0.0037297228672296123,2.666693472622694,0.0038300750982075416,2.469038829382357,0.006773825853426008,2.4148640090380984,0.007870542763952493,0.17555684298791918,0.0,7.0,13.0,0.08655284895410598,0.04582209650511493,0.06894135176773575,0.034664735231113464,0.10838121365481612,0.040642955120556046
BTC,1,gbm,2186,2.0165282456570224,0.021872383847031163,2.096149011286826,0.01803448721914036,1.7469011757920507,0.04032724092473439,1.7176751107074513,0.04292794580701287,1.6958328673436105,0.04495876807118193,0.32516676826129765,0.0,7.0,13.0,0.3499581415524986,0.13123430308218698,0.5118701821275486,0.10369861952074556,0.4292794580701287,0.08585589161402574
BTC,7,ridge,2174,1.644477647366031,0.050038788887295294,1.5930204292505605,0.05557780406476809,1.363837437868542,0.08630936728128424,1.3270038498302603,0.09225370458165028,1.206143519284544,0.1138810786033122,0.40507957693561736,6.0,7.0,13.0,0.6505042555348388,0.15011636666188588,0.7767843055315582,0.14815812295219893,0.7380296366532022,0.1509606074972459
BTC,7,elastic_net,2174,1.762753794748686,0.038971011714817316,1.7072531155522985,0.04388750817525089,1.5430765605248082,0.06140610055141815,1.5029849060771594,0.06642146816110284,1.3869145901883282,0.08273390415830495,0.4204798645848082,6.0,7.0,13.0,0.5455941640074424,0.14029564217334234,0.6754671060655997,0.13816372624069084,0.5977932134499255,0.1195586426899851
BTC,7,gbm,2174,1.253965524541831,0.10492726830700438,1.2163047086171648,0.1119344342522619,1.0225639737088832,0.15325702529154106,0.9965881017289347,0.15948224182198656,0.9253567993336471,0.1773901712771272,0.6137132049275862,6.0,7.0,13.0,1.0,0.20985453661400877,0.8338279630826761,0.19704474680340994,0.8493734788962353,0.20504859662826844
ETH,1,ridge,2186,1.8634804389899853,0.031197351061843848,2.1693928202300214,0.015026436799975729,1.7579897181876658,0.03937462939442682,2.003691717611244,0.02255154701979789,1.9565503849691996,0.025200176574288635,0.08681665162048573,0.0,7.0,13.0,0.4679602659276577,0.14029564217334234,0.5118701821275486,0.10369861952074556,0.2706185642375747,0.05798969233662315
ETH,1,elastic_net,2186,1.3700035282803469,0.0853429001303756,1.3851393147883226,0.08300493620734906,1.2496173048071983,0.10571968931350217,1.1918746707857963,0.116655195631723,1.1926338310231468,0.11650640513577626,0.18359918686239637,0.0,7.0,13.0,0.9387719014341316,0.1920215252933451,0.7767843055315582,0.15857953397025326,0.816586369422061,0.1749827934475845
ETH,1,gbm,2186,1.4185459931658393,0.07801571033925903,1.373127462732893,0.08485636242609362,1.0849525888524219,0.13897132718044602,1.0733268485828984,0.14156224648270588,1.0934835841417672,0.1370907663474341,0.3167872862246298,0.0,7.0,13.0,0.9361885240711083,0.1920215252933451,0.8338279630826761,0.19242183763446372,0.8493734788962353,0.19600926436066965
ETH,7,ridge,2174,-0.7897632104036146,0.7851669659123899,-0.7642775505847657,0.7776490696895075,-1.6246597675315513,0.9478824627853877,-1.577834637580169,0.9426981979383361,-1.4235565749028403,0.9227125630116463,-0.5225642909196574,6.0,7.0,13.0,1.0,0.9233807963653108,1.0,0.9639198902497221,1.0,0.959580021162114
ETH,7,elastic_net,2174,-0.9814269198223756,0.8368088717829653,-0.9497570490922708,0.8288821426901521,-1.7981059501930416,0.963919890249722,-1.7458330990191782,0.9595800211621139,-1.573181412903593,0.9421615910513981,-0.4459608735849269,6.0,7.0,13.0,1.0,0.9233807963653108,1.0,0.9639198902497221,1.0,0.959580021162114
ETH,7,gbm,2174,0.5496832739115617,0.2912683155135364,0.533239547787111,0.2969338842688901,-0.35612007873907336,0.6391246795034549,-0.34907986697760307,0.6364853245871744,-0.33615282166909755,0.6316221861724379,1.4465016713763401,6.0,7.0,13.0,1.0,0.4766208799312413,1.0,0.7190152644413867,1.0,0.7160459901605712
SOL,1,ridge,1721,0.3082951899535226,0.37892886289115113,0.5222199242164685,0.30075860756397454,1.3374305121315444,0.09054107513745491,2.1100875399961487,0.01742540816423277,2.2128165829557105,0.013455146764225767,-0.06550213658224671,0.0,7.0,12.0,1.0,0.5683932943367267,0.7767843055315582,0.14815812295219893,0.226530306135026,0.05227622449269831
