asset,h,model,sharpe,n_boot,lo_mean,lo_range,hi_range,sign_flips
BTC,1,ridge,-0.23477068158251516,500,-0.9988392897511092,0.08245129059770062,0.0666023006187968,0
BTC,1,ridge,-0.23477068158251516,2000,-1.0346855257489787,0.038091493574235136,0.017134872245883948,0
BTC,1,ridge,-0.23477068158251516,10000,-1.0516390983344686,0.03634416286696651,0.020322264321818828,0
BTC,1,elastic_net,0.057286355952132204,500,-0.6574401870951687,0.07330682524834886,0.039601095097974603,0
BTC,1,elastic_net,0.057286355952132204,2000,-0.6711200713684982,0.04459798782381008,0.019523702227017825,0
BTC,1,elastic_net,0.057286355952132204,10000,-0.6856527244365347,0.02790582735252456,0.034449919326970835,0
BTC,1,gbm,0.15686763387368155,500,-0.6975452692437357,0.13279628718309922,0.14159087923464253,0
BTC,1,gbm,0.15686763387368155,2000,-0.6922507887795246,0.06378166118951745,0.09431907312106202,0
BTC,1,gbm,0.15686763387368155,10000,-0.7002493882684732,0.010074270234303406,0.0192028159203399,0
BTC,7,ridge,0.534574353583642,500,-0.316395266168925,0.06327860604884278,0.1659372373396042,0
BTC,7,ridge,0.534574353583642,2000,-0.2869695681855796,0.05438456925119234,0.03877731541050822,0
BTC,7,ridge,0.534574353583642,10000,-0.2876415578268234,0.015043105396642775,0.02886255922080161,0
BTC,7,elastic_net,0.5947019787386538,500,-0.25219057040343995,0.053293958482447695,0.11438713492315333,0
BTC,7,elastic_net,0.5947019787386538,2000,-0.2388706866870876,0.05126775254049523,0.07036114603768318,0
BTC,7,elastic_net,0.5947019787386538,10000,-0.23574696492106542,0.012707137043299982,0.03148871130353004,0
BTC,7,gbm,0.5802687802513484,500,-0.21153816274891693,0.17305456096984526,0.18414231782986246,0
BTC,7,gbm,0.5802687802513484,2000,-0.20794670545886434,0.07576443140855418,0.07571945981803863,0
BTC,7,gbm,0.5802687802513484,10000,-0.21452215178187917,0.03317720666977611,0.028985979973032983,0
ETH,1,ridge,0.4314995197095039,500,-0.26931284051263915,0.11310577106432981,0.132458690162796,0
ETH,1,ridge,0.4314995197095039,2000,-0.28204820713235745,0.02372439967736789,0.08352806852412642,0
ETH,1,ridge,0.4314995197095039,10000,-0.27992612382344173,0.02633251267375819,0.02028500112550735,0
ETH,1,elastic_net,-0.6062970612225238,500,-1.3477819837910776,0.08407333636931291,0.1632836701628308,0
ETH,1,elastic_net,-0.6062970612225238,2000,-1.3734004981960273,0.02303303336660556,0.045666476384244425,0
ETH,1,elastic_net,-0.6062970612225238,10000,-1.3600066495852754,0.0208506586151187,0.030502659132335186,0
ETH,1,gbm,0.20704117092557153,500,-0.6728376203189652,0.11592680666315924,0.09897609826226028,0
ETH,1,gbm,0.20704117092557153,2000,-0.6593733850824802,0.07609835784793106,0.06995470348513799,0
ETH,1,gbm,0.20704117092557153,10000,-0.6624961223496647,0.025025357788913904,0.014021237373744944,0
ETH,7,ridge,-0.30038198984676107,500,-1.0913092571975724,0.08672966257746895,0.1428179476296909,0
ETH,7,ridge,-0.30038198984676107,2000,-1.0962987236486212,0.059207970745645655,0.058459889935842,0
ETH,7,ridge,-0.30038198984676107,10000,-1.0857870339226419,0.020884530945227686,0.00941538846178458,0
ETH,7,elastic_net,-0.24291260440151177,500,-1.0117740314214863,0.09146437037463961,0.16189930630297655,0
ETH,7,elastic_net,-0.24291260440151177,2000,-1.023482694826892,0.05622644833367252,0.038798733729277,0
ETH,7,elastic_net,-0.24291260440151177,10000,-1.0186487700386102,0.009674069127723062,0.01858365999551448,0
ETH,7,gbm,0.7864076247075451,500,-0.013911818425434333,0.10780561529763466,0.12811472091549114,1
ETH,7,gbm,0.7864076247075451,2000,-0.005447201133634493,0.04674269935567789,0.10909796371565217,1
ETH,7,gbm,0.7864076247075451,10000,-0.012591648300733175,0.012871706729864965,0.030893783676216424,0
SOL,1,ridge,0.33920273224425324,500,-0.5645578275648033,0.2460640422910147,0.1090608216124942,0
SOL,1,ridge,0.33920273224425324,2000,-0.5745552620846853,0.08953164368692468,0.061487306459351077,0
SOL,1,ridge,0.33920273224425324,10000,-0.5860593239905538,0.02028721899226993,0.031290406845136065,0
SOL,1,elastic_net,0.041886256233803806,500,-0.8363533631819948,0.1882109637356283,0.10161547568614493,0
SOL,1,elastic_net,0.041886256233803806,2000,-0.8470573763176832,0.053379014340404596,0.05181195586843179,0
SOL,1,elastic_net,0.041886256233803806,10000,-0.8554418111377722,0.03343083690800852,0.022916204239355698,0
SOL,1,gbm,0.2693007936419987,500,-0.6077674642773674,0.04187954854220399,0.07494327651483568,0
SOL,1,gbm,0.2693007936419987,2000,-0.5979404450485604,0.037456889272408644,0.05118468320821301,0
SOL,1,gbm,0.2693007936419987,10000,-0.6218454779601205,0.03026111558666289,0.012498920111004619,0
SOL,7,ridge,0.31130162410181195,500,-0.565603095495774,0.10738328625598015,0.1360841442860765,0
