rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_dm_zero,elastic_net_cw_zero,elastic_net_cw_mean,elastic_net_cw_mean_nw,elastic_net_dm_zero,mean_cw_zero
0,2.6955188686610705,2.5224212366947705,2.4353934932474552,0.11409470010902593,1.7953344399510964,1.579206946422288,1.5088940274325846,-0.26396817199763184,0.7145440828073467
1,0.5724950741219493,0.34074844570899837,0.2868913167237295,2.029602268742782,0.3608180365706861,-0.015170150963281684,-0.013205835004465526,1.2997244395377752,0.9437709727643983
2,2.32069849795694,2.127573628755687,1.9984825406356908,0.689806377835672,2.7711484423401,2.820052131455611,2.3056090322140372,-1.080964809763044,0.7286335690721758
3,-0.5621993912185108,-1.1872120144443659,-1.2390172419995218,1.8826235031388607,0.28893816239168785,-1.3856689081604507,-1.4739640585364686,0.8489073872459056,1.6552982799105846
4,2.207291053882088,1.4364965907212703,1.2732963651347387,0.918962462192265,2.4537273041457874,1.5567208081121904,1.3715848174887006,-0.4834550404923889,2.9799057998608527
5,2.163927862116104,0.5579013254965368,0.551113346227427,0.5659185112540963,2.773704006917806,0.49826831653519676,0.5805429118283459,-0.8614627706453579,2.8073411336385106
6,1.2634726575797313,1.398294453681685,1.5581696325464975,2.2189684581001576,0.9131032319005024,1.0709904352097193,1.183112904820966,0.8504743833931708,-0.2259130078457373
7,2.0940886581152287,2.100177549934019,1.8186610194036725,0.2810545144318553,2.3309820576001448,2.374969574477432,2.001877866285135,-0.7453150653879829,-0.7853099656238142
8,0.8793902621318578,0.9637751581868352,1.1853373540864436,1.9883854060799286,0.3187843770261006,0.4890713523428709,0.5477380922650897,1.2362215504872716,-0.8950047465590869
9,0.5469939978544396,0.28619043561964175,0.287186656662576,2.082471438341305,0.5136439538921728,-0.16416864919711913,-0.18314669288732968,1.153055371390789,0.8947492136832167
10,3.2013851269384825,3.144467940294501,3.1250766639974605,-0.7637187159446654,2.8735968290603617,2.7260123324868557,2.675596841648039,-1.4276513247713591,1.2968167779231434
11,1.8389950307628058,1.968972174769656,1.6590941205089684,0.6149494097196323,1.8496049645096213,2.0345263995279796,1.799157073970012,-0.3421698988220091,-0.6821636283328076
12,1.5209739678171184,1.677249437807936,1.7950644667553506,1.066442706271367,1.349298609260432,1.490149030533322,1.6148785070517828,0.09586176624893392,0.5364979680295308
13,1.411994897694158,1.4733496284224052,2.0385147508101213,0.3682271656028392,0.9827566053762479,0.6917677500989997,0.9072714189448129,0.36681761828784615,0.8468773926768508
14,1.1153816050669165,-0.6167878885727276,-0.7003128973213902,1.3302094020334916,2.550403141288557,0.3732043048501065,0.4182746997573348,-0.334110731616855,2.735917847679834
15,1.0737791754752473,0.9098876195133102,1.026056974657103,1.242685409525826,0.9097877022135503,0.42878225544918963,0.4611542460978236,0.2282300405322795,0.9990480921064959
16,2.7261684976695943,2.6703961709629938,2.8655297840728924,-0.6178042881933612,2.946335855494451,2.952662291075782,2.9237774753790977,-1.4257735234547542,0.8177868796878356
17,1.327069472550063,1.3943146204883308,1.3055416538986653,0.9957869404694258,1.1944324484860585,1.4628055729758656,1.1602419695413444,0.12502287030515535,-0.30603221108060513
18,0.8896379183075834,1.4221846053227165,1.5404709385679827,2.0711980945303856,0.3604976999638512,1.4585845793877013,1.4519750686610886,1.3148255243386058,-0.6503953589045481
19,1.4007656795590677,1.4382908833428378,1.5986628125372704,1.45030409137179,0.36431358736702624,0.6266733157795445,0.8075165882736857,1.0620797177553167,-0.033743618726922726
20,0.20474986513995966,-0.5279302021358137,-0.531759434700956,2.494450933103989,1.214113780172693,-0.21384218521442147,-0.21006529681000086,0.31926868490023413,2.5523696543846213
21,1.9739888976587059,1.3762609679866595,1.3692749515021876,1.0478170273634935,1.7082837824610786,0.5693747720887922,0.6079189754524811,0.03264494862036133,2.0174297382969457
22,2.331328387459614,2.330170093814101,2.1550926923841285,0.5715744448796288,1.214995487820115,1.1992527212517476,1.1551800764265765,0.6556818598652802,0.25082217332811474
23,1.1618020282180295,-0.18832372462965888,-0.1889458189871971,2.296912799989103,2.3462416766084466,0.04254883764302877,0.045406814864317795,-0.19495904382689344,2.901250700579793
24,1.333839170346472,1.3500771094637183,1.468034449672927,0.7325009040825647,0.8999724299080483,0.9574032048159314,1.0909184779663867,0.49718274422322345,-0.611959708913135
25,1.504469565564633,1.5190279118143273,1.4657076010612495,1.4863914605186928,1.369015839449689,1.4650140603010267,1.3130897927041894,0.26818820690790673,-0.4186475590270995
26,3.545501218617539,3.396397190710106,3.0276820482337246,-1.288491443134985,1.8142528987266566,1.3460386670291995,1.448792591216814,-0.3007119628137756,0.96365821305751
27,-0.08252250460140458,-0.028773003746643187,-0.036502450547871,2.7049216511451566,0.022556827803010805,0.08270247611756225,0.10488384175734229,1.6154463269035346,-0.026752199592291977
28,1.2291590646499089,1.52155331116441,1.4194274839502827,1.1383456250540611,-0.4642346945103976,0.2181663613885014,0.23113612530667188,1.5352216969533796,-1.3193693360913505
29,2.1101172477319374,1.153066765097655,1.4732166723904851,2.2251787036195627,2.8868044770570704,1.713434837428493,1.8193990751133946,-0.09344558496822435,2.151886292592311
30,1.519372929007669,0.18149308077219498,0.18571208430491462,1.159232069567371,1.5056680252626407,-0.9179388870344349,-0.9623205223273738,0.2223701998470153,2.1676271912761114
31,0.26942582998066383,0.5830657005030494,0.7074346510282061,1.6831554804892213,-0.1442747677607115,0.578693141006194,0.6496782802731544,1.597906505012143,-0.36290969891074953
32,2.181695117371005,2.2024643628231773,2.147889159841844,0.05490718757502821,2.363005778601704,2.420050588783434,2.2099881917244395,-0.9990828096653307,-0.039587952049828234
33,1.714879590414185,1.683710137365009,2.0574874158182297,0.9508703460318562,2.8009951920548715,2.7284813018879004,2.1242133951749285,-1.3874696904805353,0.6364818863625569
34,0.6684288934269517,-0.2273762357495109,-0.24124130876194796,2.041384793693954,1.2813170394404565,-0.5648868090782792,-0.603351979637134,0.5862512481065083,2.948420186002922
35,1.2450764808278783,1.1345235608805457,1.3174098280166797,1.3428672017924008,0.7297421423807774,0.42649762933090735,0.5053224473987918,0.9012620447262691,0.895983243459094
36,1.5457022142788301,1.1544831462890617,1.1246759709699181,1.5556378539563662,1.239506183573715,0.42099613013566267,0.4289719953111883,0.5850465078759547,1.4022242287656
37,1.630436229183989,1.9774200958472332,2.1091847035443343,0.3303750743380336,0.49629154367763817,1.157737771283492,1.2428622213901765,0.42572398600440997,-1.2809991694902971
38,2.38333638268611,2.344377389962325,2.025558877651011,1.1247950687717179,2.2785656195791537,2.188062950010837,1.9920232939390274,0.10543840614997077,0.3267853872739025
