predictor,clark_west,evalue,ever_above_one,peak_year,nats_first_half,nats_second_half
infl,0.8325804915994011,5.71074856872827,True,1999.0,0.5337778374029472,0.5977367072084034
tbl,1.4369728562731934,3.4799517314210227,True,2021.0,-0.11356038322219146,1.108771468164519
tms,0.783647992781829,3.922755956220588,True,1987.0,1.1561468511635276,-0.948771673208512
d/y,1.6365989678529862,1.1356286606806218,True,1957.0,-0.17045178879905323,-0.1462635593646376
d/p,1.3387956235426068,1.4472057113111225,True,1957.0,-0.01471495025002157,-0.4277106659476382
e/p,1.5549381257723978,1.0,False,,-1.184897905064161,-0.1761311293037282
