burn_years,window,payoff,predictors,median_r2_pct,max_evalue,grid_evalue,n_certified,median_ceiling
10.0,expanding,identity,14,-0.329480996501641,3.053608683628134,1.481585831119905,0,0.46181026856603696
20.0,expanding,identity,14,-0.37754436091127497,5.71074856872827,2.039482114224055,0,0.4398415452669663
30.0,expanding,identity,14,-0.3416811036624279,8.01635456532913,2.545863164121005,0,0.5719392878126794
40.0,expanding,identity,14,-0.30770995476746554,6.273814894686471,1.9372138309469116,0,0.608511351966435
20.0,rolling 20y,identity,14,-0.9885974701890454,5.494733451577994,1.8057336267967459,0,0.5065428536608891
20.0,rolling 30y,identity,14,-0.5787657158448534,8.043704509502328,2.72578969394588,0,0.5313281005125184
20.0,rolling 50y,identity,14,-0.5149232106574142,7.57562293370554,2.167098059268679,0,0.44805323813462206
20.0,expanding,tanh,14,-0.37754436091127497,1.7415384602649921,1.2443571096285526,0,0.4398415452669663
20.0,expanding,sign,14,-0.37754436091127497,1.377748768122664,1.083179318023884,0,0.4398415452669663
