rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_wcw_zero,ridge_wcw_mean,ridge_wcw_mean_nw,ridge_dm_zero,elastic_net_cw_zero,elastic_net_cw_mean,elastic_net_cw_mean_nw,elastic_net_wcw_zero,elastic_net_wcw_mean,elastic_net_wcw_mean_nw,elastic_net_dm_zero,mean_cw_zero
0,2.179348875902287,-0.36807639240859086,-0.36042143721268627,2.1788178296227443,-0.36982774176596417,-0.36286063435378213,1.2025273428466596,2.399656661109158,-0.18400467403368584,-0.18049845646670987,2.3965780511395876,-0.18802809128684786,-0.1807932032289447,0.7097449398455125,2.6705624343239687
1,0.5126621663737542,0.6883860311267231,0.6814128848370241,0.5104488912124435,0.6979231019389139,0.6886818438800268,1.737662811904872,0.23028667481498027,0.49437176401197147,0.4891687833200893,0.2443785962565483,0.4953858551226266,0.4775879817358536,1.363913128925248,-0.684044251690569
2,0.7952774441854312,-0.5413799960532809,-0.5274107673593966,0.7993248621211125,-0.5549915105980984,-0.5219512313498805,1.4756302749885222,0.8825137534906524,-0.6088776170654658,-0.5920525282543504,0.8853561097438171,-0.6268170318707349,-0.6035780028461606,1.1054719846141814,2.092766587860204
3,-1.0047424017024469,-0.9045071102679034,-0.8748738215352067,-1.0033781439935003,-0.9156372242977296,-0.8896787366822104,2.469076837341637,-0.8490405259666539,-0.7457442524606679,-0.7217610564362932,-0.8545338357717199,-0.7539465251068332,-0.7167708099623349,2.0581451777871473,-1.4128362870244593
4,0.871208296136876,-0.49879744919465024,-0.4892603991979791,0.8657227368463115,-0.49811977264359314,-0.48871642940692545,1.701560049059327,0.6977118548263348,-1.2049207494122676,-1.1801838461087653,0.6893775614173852,-1.2090660615964905,-1.1724646975044823,1.4266613274109854,2.081017405260377
5,-0.34085488561467975,-0.12689382009996297,-0.12468489298394139,-0.33579613207832587,-0.12249622166988476,-0.13568372153222738,2.383469910828683,-0.7587947663981166,-0.6015631347747472,-0.589517346553441,-0.7592260422042645,-0.6125904201337338,-0.5852753556635711,2.3048124067117084,-0.9002395931008836
6,-1.7569325373763474,-1.5139773175415105,-1.478306112959573,-1.761360024189105,-1.5052340132467856,-1.4671371386836942,3.6927789158509285,-1.5606270426066684,-1.2411757880159635,-1.2119003693554338,-1.5641134714373326,-1.2466860118906375,-1.223159823307409,3.358820580410241,-1.1778700196020147
7,-0.18403605819543428,-2.994467534912441,-2.946631406809486,-0.17992975504284112,-3.013646761890089,-2.9303150305010632,2.17187582449255,0.25984650904798345,-2.696220601687592,-2.641590592157002,0.25115474190203196,-2.7295214325748494,-2.647991839216928,1.4026326387925423,2.169724588395116
8,0.9644832660632765,0.8398534571282649,0.8199599317816468,0.9634539707910621,0.8242002544902569,0.8242352146527027,1.760711138863745,1.446578794647785,1.3136028992180178,1.28549615572137,1.449441503076951,1.3122599145538651,1.2801024500602463,1.1826862677639083,0.25087464078621396
9,-0.7608825020873421,-0.7404574924706849,-0.723968297537409,-0.7570249540210708,-0.7191559748156813,-0.7389667442008019,3.0271529281245044,-0.3968413764321408,-0.43314933754987767,-0.42569764864232434,-0.4109771031932081,-0.43973611863400686,-0.404736987040272,2.3389271801647644,-0.06623141597735072
10,0.4053311753568933,0.541921398220514,0.5278640200433087,0.41252599693823166,0.5306611699314769,0.5310428548919688,2.5508776003024503,0.6121938325592788,0.6917565115214114,0.6733822118612898,0.6145267882630499,0.6910181310443405,0.6716974175826815,2.309478120683201,-0.07543327694612853
11,0.10579537614061285,-0.6643427193539053,-0.6501579160522727,0.11538593386207689,-0.6567458435856164,-0.6414224757039979,3.318668858359451,0.23466850047041032,-0.8215528812642799,-0.8019708841052126,0.2275177207092432,-0.8423359439610758,-0.8066979963132846,3.518690699589771,1.156230730941931
12,-1.5298340449603478,-1.4496275461496066,-1.4199873555473093,-1.5263178432427111,-1.4564573167850925,-1.4170685719816105,2.6771079329505536,-1.4167457071098501,-1.3286862557111794,-1.3105560514901908,-1.4128713171977367,-1.3257002159113658,-1.3089435850006128,2.683134664479114,-1.324807501274567
13,3.2127359368228916,2.746493130743223,2.663918534210093,3.2082579718150948,2.749208807964818,2.6600283244058818,0.34450046457785144,3.07604246787519,2.5689351607794855,2.4806690895751773,3.0768123340607176,2.574400272550484,2.4819474544461584,0.32173633976188404,1.9137895130349445
14,1.713937072768957,0.9399414527791362,0.9274914686332996,1.7178217176811141,0.9400166255436998,0.9262025861010195,1.3140840789074688,1.5483392154706517,0.7213418399080269,0.7095025408610087,1.5501532192564718,0.7206765210205601,0.706560066460386,1.0501017378652315,2.069468276505007
15,1.6257715727179456,1.4877822322148186,1.463946637902133,1.627560056931123,1.4958827980683616,1.4526969016678555,1.303897177336131,1.4569640971696767,1.3221981446471045,1.2991067137248982,1.4445879368410646,1.326477803234832,1.2949427045181798,0.9253310653184801,0.8524228876968841
16,1.213693185344208,0.6256210498073725,0.6090274030588877,1.2137414322714717,0.6282100577119704,0.6084618250896572,1.6530342581719684,1.1835138271840633,0.586743917468082,0.5707326777853814,1.1925918277875047,0.594631708665957,0.5738926415546746,1.4372169755579158,1.8050798568911524
17,1.2837612405606023,0.5580280659235487,0.5441917494481241,1.285088289398868,0.5531353520568717,0.5435347684417509,1.5892104784056054,1.477369176963255,0.8171675492691076,0.7962113315577682,1.4743619877249716,0.8187425555198924,0.7934638175053081,1.1003020318790637,1.2894257765082302
18,-0.14251737866337275,-0.04289996140428553,-0.04222330176752497,-0.1438339267520445,-0.03593402835698137,-0.040233699283775196,2.805740990337651,-0.2345064621073842,-0.11473503686210353,-0.11292555146756647,-0.23149260345842307,-0.11885723665297313,-0.09717032396804672,2.5355826258564695,-0.9444247043790832
19,2.8936605873270187,1.4880807516395076,1.4532714985481305,2.90084718120767,1.4917204424546116,1.4480724083194525,0.7571845525326067,3.084610790887341,1.6207520927683188,1.5771932549558298,3.0876554841099795,1.6252451573748576,1.5795073706490421,0.2014630589397836,3.2374370458578117
