correction,alpha,mde_at_80y,mde_at_100y,years_needed_for_CT
one predictor,0.05,0.27799634062384176,0.24864748605243864,102.52740743099446
Bonferroni over 17 (GW 2008),0.0029411764705882353,0.40203266854919856,0.3595889504206599,214.42948699718113
Bonferroni over 46 (GWZ 2024),0.0010869565217391304,0.43681636968682175,0.39070043852176484,253.1393308296564
Bonferroni over 100,0.0005,0.46198818714862044,0.413214796506484,283.1545595193926
