rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_wcw_zero,ridge_wcw_mean,ridge_wcw_mean_nw,ridge_dm_zero,elastic_net_cw_zero,elastic_net_cw_mean,elastic_net_cw_mean_nw,elastic_net_wcw_zero,elastic_net_wcw_mean,elastic_net_wcw_mean_nw,elastic_net_dm_zero,mean_cw_zero
0,2.1503443309539763,2.0905876906147918,2.096978345596738,2.1343696065964815,2.085658059592241,2.0975181808497276,0.5376733032548885,3.1906951830104755,3.09929237451809,3.092238933752437,3.1825469375009168,3.086721878668676,3.09913000616021,-1.144283227248274,1.1469604627045082
1,3.3166844092399654,3.505880372417908,3.0214869486528393,3.30988624089763,3.4976877792343606,3.013959884390729,-0.49759679696718184,4.014898917691849,4.226758890548517,3.5842111701158337,3.9878840394700514,4.239984924334707,3.600503438004601,-2.1236605873583345,-0.5743697498606274
2,0.25844135245352534,-0.05044155980751662,-0.04497187291378663,0.25568850274255706,-0.0606604977191991,-0.05032953341451485,1.9610220080022942,1.1197592536689467,0.8239153559701149,0.7191492965671508,1.1308158176722474,0.7761964659253988,0.6849115083352221,0.1818927223993293,0.8433481514350919
3,3.739727769070039,2.7751378965382134,3.1402044626302175,3.740894286184761,2.776993261568714,3.157237596737095,-0.07966589909100354,4.110770255135339,3.0633598138652585,3.772148602778626,4.104449558114538,3.057041845309351,3.762435793598903,-1.3890920041348513,2.69209165576646
4,3.1016698198162427,3.14071925018154,3.0063208327774937,3.091271634209208,3.1353753700931253,3.0171416460617193,-0.8003600995880455,3.6430375434781745,3.7380602022319276,3.5030199304044665,3.6502655315745467,3.7373718202087134,3.5105619836457334,-1.9233309880238105,-0.08934866879691325
5,2.8577827219074208,2.9009673353539296,2.797575902180175,2.8539305176867287,2.8932897329621476,2.780202706952285,0.0012681129500961338,2.955724729781044,3.0188402052395857,3.056600803462797,2.95604158582694,3.037279050999672,3.0533923800431295,-1.4937789142798703,0.11004439265312042
6,3.105393164916134,2.8982367696985882,3.3843027636063354,3.107296546182152,2.8952135906732384,3.3808711483950664,-0.225871589055489,3.377899355523227,3.1464786481075926,3.347097706785102,3.375541743008295,3.152910828622203,3.346806892976495,-1.7013374342529282,1.4847633992654925
7,3.1881034493627545,3.267398649477261,3.4351645952187564,3.1910230342610677,3.261971180859703,3.428441773723716,-0.28043854100337884,3.323331938273961,3.4225382395813115,3.4982546428939356,3.313289852653185,3.442374263205692,3.427997259315745,-1.0057669517784258,-0.5056134317923391
8,1.949550313749005,1.876518253293721,1.9314958861772795,1.951125696633536,1.8728510365457374,1.9210638644832476,1.0410569769910085,1.6710490340533743,1.6346088118326219,1.5773861300828502,1.6586799236019047,1.6447896628164753,1.5930238665354768,0.3250640957189402,0.5143184649611654
9,1.371884212574947,0.8948882944125086,0.9188925924460593,1.3859345332254815,0.8622709043840721,0.9064723052931448,1.3385742892465708,2.5212082601891677,1.7942755547509392,1.9285251224184272,2.517375593473433,1.7925587261006208,1.9048395140319596,-0.6890883066027139,1.9401111715546246
