asset,h,model,n,phases,evalue,evalue_designed,p_anytime,growth_nats_per_period,implied_ratio,cw_vs_mean,cw_vs_zero,value_lower,value_upper,ratio_ceiling,e_bh_reject
BTC,1,ridge,2186,1,4.133508157821323,3.8539236258451224,0.24192525134075868,0.0006491886913520196,0.6884095762603643,2.664806011433384,2.6216037230150735,-0.0014609473735038405,0.003459528157497751,2.197505247510664,False
BTC,1,elastic_net,2186,1,3.2905545591196645,3.115702675192576,0.3039001426761129,0.0005448564087720703,0.6306704197943734,2.666693472622694,2.5695629789615224,-0.0012542667654380645,0.0029473463343675094,1.8721654344587113,False
BTC,1,gbm,2186,1,1.1227423793417874,1.3054309226195175,0.890676274806919,5.2961685942029865e-05,0.19662662774324796,1.7469011757920507,2.0165282456570224,-0.0014015857291246117,0.0017745629608326438,1.1272090415036118,False
BTC,7,ridge,2174,7,1.0851261177921432,1.1031661828881858,0.9215518672010721,3.610215462750424e-05,0.16234091560071384,1.363837437868542,1.644477647366031,-0.004577798377852422,0.007032430985088189,1.6759843885040884,False
BTC,7,elastic_net,2174,7,1.0804663898688343,1.0891105410856683,0.925526244385443,3.4493268066900956e-05,0.158682342082658,1.5430765605248082,1.762753794748686,-0.00504366321657402,0.0064569206272916645,1.5388274967927251,False
BTC,7,gbm,2174,7,1.2689529673601072,1.245302634124836,0.7880512719713882,0.00010050419885644189,0.27086540045787055,1.0225639737088832,1.253965524541831,-0.004291925105361369,0.010705771900033127,2.5514230583119284,False
ETH,1,ridge,2186,1,1.5369541348869857,3.6347956991291825,0.6506375026431945,0.0001966160217013355,0.3788531322847614,1.7579897181876658,1.8634804389899853,-0.001965737075414676,0.004270847261130471,2.0035464928014663,False
ETH,1,elastic_net,2186,1,1.1672280548924057,2.571417257300336,0.8567306070210755,7.073730741093155e-05,0.2272404770501506,1.2496173048071983,1.3700035282803469,-0.0018774890431883335,0.003691727528912595,1.731868945595031,False
ETH,1,gbm,2186,1,1.7794655492674163,1.3776171748649497,0.5619664850559695,0.0002636381820669799,0.43869792900000715,1.0849525888524219,1.4185459931658393,-0.0029795990723010864,0.004006402037852072,1.879489539404989,False
ETH,7,ridge,2174,7,1.055391121997506,1.058053302630192,0.947516024303228,2.3858567298190565e-05,0.13197255065989713,-1.6246597675315513,-0.7897632104036146,-0.008719341474955261,0.0039288292258488604,0.700674015891006,False
ETH,7,elastic_net,2174,7,1.0542079166983152,1.048557881694171,0.9485794824344618,2.3330795352994814e-05,0.13050471488680482,-1.7981059501930416,-0.9814269198223756,-0.008878135860218808,0.003507409599659764,0.6255173305572463,False
ETH,7,gbm,2174,7,1.0096194180498101,1.0313829526374665,0.9904722335190511,4.3253359260294835e-06,0.05619159390871132,-0.35612007873907336,0.5496832739115617,-0.01378588093326509,0.004394146063239077,0.7836594037441678,False
SOL,1,ridge,1721,1,1.0921306122290602,1.2026909344819172,0.9156413974689165,5.1208877651705294e-05,0.1933454956437953,1.3374305121315444,0.3082951899535226,-0.005016668000752388,0.006235986062569487,2.3901608876774305,False
SOL,1,elastic_net,1721,1,1.047366607386229,1.38119141177417,0.9547755226754503,2.6890773341788592e-05,0.1401080459484953,1.4260791568859532,0.14761316804610833,-0.00477302274288504,0.006359613034688424,2.4375452709098266,False
SOL,1,gbm,1721,1,1.1488062647286732,1.1632412800700151,0.8704687906939483,8.060625948720738e-05,0.24257487385477786,1.8703459871446073,0.8174495018821133,-0.0031386629836957338,0.004636869497184972,1.7772432462540544,False
SOL,7,ridge,1709,7,1.0080775078075086,1.1027736808646718,0.9919872155216749,4.604250890435656e-06,0.057975021776779254,2.005867105920081,-1.428185728517564,-0.007503158858597736,0.013119158791541515,1.8643892589219,False
SOL,7,elastic_net,1709,7,1.0126933978876291,1.1124875237166385,0.9874657049072244,7.125931609541272e-06,0.07212440692972892,2.2807235389106912,-1.4137288596657687,-0.006807565527865381,0.013708400827707416,1.9481275946329728,False
SOL,7,gbm,1709,7,1.0306230937421892,1.057518907900486,0.9702868158804817,1.7426567505436875e-05,0.11278915851698211,0.37385331045188186,-1.3934203388389117,-0.006933237989426102,0.007135711623107166,1.0140699046544548,False
