predictor,frequency,duty_cycle,peak_period,peak_fraction,evalue,on_period_ir_required
d/p,Annual,0.5,1985,0.4936708860759494,1.8336545100485093,0.35355339059327373
d/y,Annual,0.5,1953,0.08860759493670886,1.3670626700308974,0.35355339059327373
e/p,Annual,0.2,1951,0.06329113924050633,1.2588398909500396,0.5590169943749475
d/e,Annual,0.4,1955,0.11392405063291139,1.3654018407169983,0.3952847075210474
b/m,Annual,0.4,1954,0.10126582278481013,1.273984794694044,0.3952847075210474
tms,Annual,0.5,1946,0.0,1.0,0.35355339059327373
dfy,Annual,0.5,1965,0.24050632911392406,1.013736407628799,0.35355339059327373
dfr,Annual,0.5,1982,0.45569620253164556,1.2641543780567452,0.35355339059327373
infl,Annual,0.3,1946,0.0,1.0,0.45643546458763845
eqis,Annual,0.7,1999,0.6708860759493671,1.929865653946252,0.2988071523335984
ntis,Annual,0.5,1994,0.6075949367088608,1.0862221213872874,0.35355339059327373
svar,Annual,0.2,1955,0.11392405063291139,1.1606667395196517,0.5590169943749475
cay,Annual,0.4,1999,0.6231884057971014,1.0286811089762438,0.3952847075210474
i/k,Annual,0.5,2021,0.9402985074626866,1.5781099667458196,0.35355339059327373
csp,Annual,0.4,1970,0.0,1.0,0.3952847075210474
pce,Annual,0.6,2022,0.9508196721311475,2.126371126557843,0.3227486121839514
govik,Annual,0.6,1999,0.6119402985074627,1.6397576303016201,0.3227486121839514
lzrt,Annual,0.6,2017,0.8987341772151899,2.0687050270033716,0.3227486121839514
skew,Annual,0.1,1981,0.2413793103448276,1.095805045063426,0.7905694150420948
ogap,Annual,0.8,2021,0.9493670886075949,4.956650622307866,0.2795084971874737
wtexas,Annual,0.4,1991,0.569620253164557,1.1452489309206582,0.3952847075210474
accrul,Annual,0.3,2006,0.6122448979591837,1.3179985916050196,0.45643546458763845
cfacc,Annual,0.6,2025,1.0,1.0884058663618998,0.3227486121839514
sntm,Annual,0.3,2004,0.5531914893617021,1.150488348110693,0.45643546458763845
ndrbl,Annual,0.7,2022,0.9464285714285714,3.1401860492968465,0.2988071523335984
skvw,Annual,0.3,2022,0.9620253164556962,1.5439481786869667,0.45643546458763845
tail,Annual,0.8,2024,0.9873417721518988,2.6011234181807916,0.2795084971874737
fbm,Annual,0.5,1956,0.12658227848101267,1.4552440481007551,0.35355339059327373
dtoy,Annual,0.5,1965,0.24050632911392406,1.013736407628799,0.35355339059327373
dtoat,Annual,0.5,1949,0.0379746835443038,1.0454331367895662,0.35355339059327373
ygap,Annual,0.0,1965,0.01639344262295082,1.0000705566526578,
rdsp,Annual,0.2,1965,0.24050632911392406,1.013736407628799,0.5590169943749475
gpce,Annual,0.8,2023,0.9701492537313433,2.5869526493741635,0.2795084971874737
gip,Annual,0.5,1952,0.0759493670886076,1.127405432114422,0.35355339059327373
tchi,Annual,0.4,1973,0.1746031746031746,1.2518890564766023,0.3952847075210474
house,Annual,0.5,1965,0.24050632911392406,1.013736407628799,0.35355339059327373
avgcor,Annual,0.5,1965,0.24050632911392406,1.013736407628799,0.35355339059327373
shtint,Annual,0.7,1984,0.0,1.0,0.2988071523335984
