asset,h,model,same_close_single_phase,staggered_same_close,staggered_delayed,delay_cost,stagger_cost
BTC,1,ridge,0.5092368051735764,0.5095034920039749,-0.23477068158251516,-0.7442741735864901,0.0002666868303985437
BTC,1,elastic_net,0.3251968217876693,0.3251214566627324,0.057286355952132204,-0.2678351007106002,-7.536512493688807e-05
BTC,1,gbm,0.22188311148898315,0.22277076222832917,0.15686763387368155,-0.06590312835464762,0.0008876507393460187
BTC,7,ridge,0.5671534218368224,0.709485072238221,0.534574353583642,-0.17491071865457897,0.1423316504013986
BTC,7,elastic_net,0.5073845841347998,0.7379036358572609,0.5947019787386538,-0.1432016571186071,0.23051905172246112
BTC,7,gbm,0.8206371359725625,0.6405563696741422,0.5802687802513484,-0.060287589422793775,-0.1800807662984203
ETH,1,ridge,-0.18432703709959622,-0.18467980225312677,0.4314995197095039,0.6161793219626307,-0.00035276515353055427
ETH,1,elastic_net,-0.1089271205725589,-0.10926328502212701,-0.6062970612225238,-0.4970337762003968,-0.00033616444956810487
ETH,1,gbm,0.9107750015804092,0.910671352072046,0.20704117092557153,-0.7036301811464745,-0.00010364950836327935
ETH,7,ridge,-0.10797191226449894,-0.24134710576787738,-0.30038198984676107,-0.05903488407888369,-0.13337519350337845
ETH,7,elastic_net,-0.12721615254017724,-0.20097088228682727,-0.24291260440151177,-0.0419417221146845,-0.07375472974665004
ETH,7,gbm,0.921901364115978,0.7711684087101282,0.7864076247075451,0.015239215997416955,-0.15073295540584986
SOL,1,ridge,0.049076226567498424,0.048667076805524324,0.33920273224425324,0.2905356554387289,-0.0004091497619740994
SOL,1,elastic_net,-0.2194478015702061,-0.2199351590564603,0.041886256233803806,0.2618214152902641,-0.0004873574862541974
SOL,1,gbm,0.431304027822447,0.4318538198051763,0.2693007936419987,-0.16255302616317757,0.0005497919827293085
SOL,7,ridge,0.45104022122136794,0.16796098613943186,0.31130162410181195,0.14334063796238009,-0.2830792350819361
SOL,7,elastic_net,0.5999301414870828,0.30524312520853303,0.45706196801438287,0.15181884280584984,-0.29468701627854976
SOL,7,gbm,0.2209050515957778,0.15081015362567726,0.15690251951979606,0.006092365894118795,-0.07009489797010054
