asset,h,model,sharpe,bh_sharpe,pct_long,beta,alpha_ann,t_alpha
BTC,1,historical_mean,0.8379552749703921,0.8379552749703921,100.0,1.0,5.418229430807903e-17,116.9962446073439
BTC,1,ridge,0.5095034920039749,0.8379552749703921,58.535469107551485,0.3152539077043494,0.14107667210603966,0.6482099767002802
BTC,1,elastic_net,0.3251214566627324,0.8379552749703921,67.82608695652173,0.38214591579864715,0.0031159862991582523,0.014968853826245358
BTC,1,gbm,0.22277076222832917,0.8379552749703921,85.53775743707094,0.7281156702379173,-0.22265057703886193,-1.4097050895626315
BTC,7,historical_mean,0.7979005720010935,0.7979005720010935,100.0,1.0,0.0,
BTC,7,ridge,0.709485072238221,0.7979005720010935,65.66958122411413,0.28690456727684854,0.20853519634818865,1.1088317608710565
BTC,7,elastic_net,0.7379036358572609,0.7979005720010935,69.53520478601013,0.32564234910114964,0.20543745683546014,1.100600564766356
BTC,7,gbm,0.6405563696741422,0.7979005720010935,89.73768982972848,0.8273433470955991,-0.027431089799675824,-0.24961983671553759
ETH,1,historical_mean,0.7967865410103291,0.7967865410103291,100.0,0.999999999999999,4.3345835446463225e-16,1.3540043620107545
ETH,1,ridge,-0.18467980225312677,0.7967865410103291,60.0,0.32084731932564076,-0.34316103934632414,-1.177469119029948
ETH,1,elastic_net,-0.10926328502212701,0.7967865410103291,65.76659038901602,0.4031215044962408,-0.3351131588677616,-1.1963830903551762
ETH,1,gbm,0.910671352072046,0.7967865410103291,94.27917620137299,0.7603353944362568,0.23617890053202295,1.0142793376348669
ETH,7,historical_mean,0.7610494577535848,0.7610494577535848,100.0,0.9999999999999994,6.519803316027663e-16,3.5629478961509764
ETH,7,ridge,-0.24134710576787738,0.7610494577535848,76.57616198803497,0.49487120692289965,-0.45718732033114734,-2.0319827039490646
ETH,7,elastic_net,-0.20097088228682727,0.7610494577535848,81.59226875287621,0.5494836329671291,-0.463466149722153,-2.158116859175187
ETH,7,gbm,0.7711684087101282,0.7610494577535848,91.57846295444087,0.8526070132001988,0.06410153250637625,0.47726598680662713
SOL,1,historical_mean,0.25269795491731023,0.25269795491731023,100.0,1.0000000000000002,3.053436498302177e-17,0.31536470541287454
SOL,1,ridge,0.048667076805524324,0.25269795491731023,50.17441860465116,0.18085262143905323,0.0028543586948876036,0.006757778138584189
SOL,1,elastic_net,-0.2199351590564603,0.25269795491731023,53.43023255813954,0.249185163887066,-0.2675542953886775,-0.6464688926036236
SOL,1,gbm,0.4318538198051763,0.25269795491731023,84.24418604651163,0.7649181373138697,0.22529620038141543,0.7853926005030863
SOL,7,historical_mean,0.20083628613239565,0.20083628613239565,100.0,1.0000000000000002,-1.8384864490271868e-16,-1.898080860075217
SOL,7,ridge,0.16796098613943186,0.20083628613239565,55.44496487119438,0.19414968947501487,0.09177232501302875,0.26672252986197936
SOL,7,elastic_net,0.30524312520853303,0.20083628613239565,56.90866510538641,0.22338546013325136,0.19605681436188194,0.5663084727297679
SOL,7,gbm,0.15081015362567726,0.20083628613239565,89.22716627634661,0.8519568200241967,-0.024425797872378117,-0.11734492287558598
