rep,BTC_h1_ridge_mean,BTC_h1_ridge_zero,BTC_h1_elastic_net_mean,BTC_h1_elastic_net_zero,BTC_h1_gbm_mean,BTC_h1_gbm_zero,BTC_h7_ridge_mean,BTC_h7_ridge_zero,BTC_h7_elastic_net_mean,BTC_h7_elastic_net_zero,BTC_h7_gbm_mean,BTC_h7_gbm_zero,ETH_h1_ridge_mean,ETH_h1_ridge_zero,ETH_h1_elastic_net_mean,ETH_h1_elastic_net_zero,ETH_h1_gbm_mean,ETH_h1_gbm_zero,ETH_h7_ridge_mean,ETH_h7_ridge_zero,ETH_h7_elastic_net_mean,ETH_h7_elastic_net_zero,ETH_h7_gbm_mean,ETH_h7_gbm_zero,SOL_h1_ridge_mean,SOL_h1_ridge_zero,SOL_h1_elastic_net_mean,SOL_h1_elastic_net_zero,SOL_h1_gbm_mean,SOL_h1_gbm_zero,SOL_h7_ridge_mean,SOL_h7_ridge_zero,SOL_h7_elastic_net_mean,SOL_h7_elastic_net_zero,SOL_h7_gbm_mean,SOL_h7_gbm_zero
0.0,-1.8145730587617392,-1.6189735326319779,-1.1656432913700656,-1.2428312168844715,-2.625180856877,-2.1001961602176653,-1.563920929579759,-1.1979429882738082,-1.4731406022353923,-1.1511808422443879,-1.1996531320868056,-0.9796962418289573,0.3519951205948476,0.8569978440367924,0.30296811048610545,0.8480816756813673,0.1880906157447515,1.1906168695000525,-0.7460443398529393,0.01995392613244576,-0.6442603998660551,0.18212821620154795,1.486761669584663,2.3188134129984985,-0.19683655555852894,0.6498873456548506,0.11936265453073282,1.003388435753787,-1.6115164772357775,-0.31312572802949856,-1.2032562459130498,0.6523892779938139,-1.224458067359889,0.7264648929239209,0.7856051026882833,2.3724825674879146
1.0,-0.8418417137775014,0.4838317830679823,0.008395256406879069,1.4844168580530808,0.8780763977734611,1.9280508382419905,-0.7340887777909278,1.0105891683609205,-0.8832003317361585,1.1428226957879455,0.06261054280002547,1.8555536286731598,0.18416710101659306,-0.05063309299199271,0.2669791497008494,-0.15684882424661908,0.4211420159150718,-0.32790633833224886,0.43496642119555723,-0.22127551944487597,0.7692276167849089,0.06355739475298182,0.5584241486985924,-0.7306908486294728,2.119939789117779,2.1169014119745304,1.9713355720391268,1.9659130647051424,0.32377989242649213,0.2959731294779687,1.7770336928999553,1.6769602804630235,1.6678900890962778,1.5598498788824722,0.7031535611902104,0.32222078679993654
2.0,-1.361808456683588,-1.6271826076852436,-0.7337900125754931,-0.9499446126088208,-0.06766078432145495,-0.2203191506245313,-1.6075253800395044,-1.7942933076412542,-0.9417910748127709,-1.1815476981187674,-0.10033787214775393,-0.08752065186996728,1.0513661725581933,0.9247870325356915,2.024938587102372,1.6378933381624299,0.2431732504465741,0.07580339134228169,0.22154983083483767,0.27759855659013744,0.567300461230749,0.5138814380274273,0.9208442588480168,0.4987075538161907,1.9791108091816612,1.9574881313776618,2.2566890122956575,2.245492616375758,1.7016818527904944,1.6743511640108015,-1.7367136525115434,-1.7750202333642302,-1.4629255791551257,-1.5756583422095085,-2.1840850230304474,-2.2761729297732747
3.0,-0.737310008767849,-0.6678569974493341,0.4252630632778171,0.554552590206368,-1.2279042863015026,-1.1331197067341272,-0.439769728156233,-0.18108609712268678,-0.12118593692217175,0.15528074263456618,-0.6992707950443783,-0.4522400680242918,-0.3609635255448999,-0.5653438857758254,-0.6375322878041741,-0.8395299021395439,1.2120800007135208,0.9700797200106733,-1.2091249768006027,-1.5378072456252707,-1.4108205006101517,-1.71421908409284,-1.991042022375398,-2.666389854547576,-0.6761396070604202,0.08583528540689121,-0.849886594383391,0.12910021866889937,-0.35493409790961145,0.33755562911210635,-0.22783482482921466,1.0701114017192823,-0.28149918050295114,1.074522857078385,-0.049908955557707725,1.6428651147575632
4.0,-2.001394564947873,-1.9793372759242098,-3.068395014586028,-3.0664683722602564,-0.22425354522037794,-0.3668460512779667,-1.979013004491365,-1.9766334298003934,-1.8654063530162643,-1.8733300063897544,-2.0664365089520706,-2.296155528418205,-0.6465165049995468,-0.9536933397920466,0.11735008127953371,-0.2783635285880523,-1.6736156151545736,-2.026758915845945,-1.6187098234158324,-2.2358199403778642,-1.4805478000012375,-2.1504795950792337,-0.462206150255017,-1.9619089626111377,0.46307924616343926,0.045922308319391814,0.20358194016042663,-0.24052061319166115,1.053996182226801,0.7556066985777053,0.3086280895579329,-0.013179798881514762,0.3921705996138048,0.014788693172703305,-0.29457026995701,0.48798240503448703
5.0,0.9953585278731026,1.3432126026422542,1.37190501299378,1.97564251084628,0.10633766475963657,0.8510273951844175,-1.305989194965418,0.0461789594712839,-1.4089724167899642,0.2035241000304458,-1.8943014645582716,0.8470150571545448,-1.612810576563395,0.5263243800540699,-1.9835242194639855,0.954708485325582,-1.4267965141161483,1.3810287932589098,-0.05974825911219341,2.276452414491582,-0.09831435767418424,2.400166086065065,1.4467740639125106,3.5544591497343165,-1.5902311992786695,-0.5485387180202594,-1.2323645298613874,0.05249550215854971,-0.11539014779103102,0.5149919563270916,0.38118502633471857,2.203344188195588,0.1315917405618064,2.04168979980702,-0.713524225811166,2.086380712769627
6.0,-1.0627363802973335,-1.2941177576038028,-0.5613315724391293,-1.146572174823175,1.2088955993574289,0.8736769457791047,-1.0235264057393805,-1.5360090516876095,-0.9957803832290091,-1.6798891006613799,0.08344755279916354,-0.858173034119718,-0.45977141075706,-0.5215985407101187,-1.2830053682102494,-1.3775816499589566,-0.06286301061622131,-0.32237285908411256,-0.6048568828639399,-0.7958409649263563,-0.8301082302173728,-1.0310340476286404,-1.6214022491644895,-1.8973353106785957,2.2600654029618243,2.4253600875981527,2.028974227564287,2.2674515634330805,2.6454611936430155,3.036059072453096,2.4116677921517504,2.7939774373716775,2.167630253841356,2.5384762960284015,0.4859514045786357,1.201273923294787
7.0,0.5970472583656475,1.3465691442120156,-1.0022358341645616,0.6790477934352983,-0.11480124096769609,1.6306733345306312,1.2051387607837216,2.6044770440651375,1.0292548811066382,2.6270728912526726,0.12920508416654206,2.7321246186367025,0.7354620166616831,0.7458817330028616,1.2595495963750445,1.2887965612982588,-0.8354838650239218,-0.7788826198539486,-0.25588864028355746,-0.18971951670717127,-0.09601850068221932,-0.03547100119397848,1.0217632463050548,1.028898786858153,2.7516165900671457,2.742489540670161,2.777098604006845,2.7561577098763275,1.1223086432654499,1.2454911998086877,2.155588843843149,2.0795859293644186,2.2135060764307632,2.125614141702951,0.6015820338826899,0.7379909879747741
8.0,-0.2750428790863035,-0.4181367255094454,-0.6519209156631789,-0.7928700294191451,-2.3654719392032506,-2.814937902255532,-0.39044514357428195,-0.7083764296588232,-0.6509995008169862,-1.0039808285460692,-0.2984425973810775,-1.0374779717672757,-0.9865137858992791,-0.6703707233418685,-0.9539936103882192,-0.37069629620506667,-2.1873058634156117,-1.035877363919909,0.14620483304492732,0.7687364487964959,0.11529637883977921,0.8088382555722547,-1.5382717520480107,0.28158997799044444,-0.6909728497114049,0.27050319424788033,-0.6120695268418722,0.745870204151133,-1.2082610391355257,0.630902742508647,0.5079238460620744,2.0274415681921854,0.7032518572846139,2.189585336648513,1.5811861176326283,2.6804686167680916
9.0,0.06178171177497865,1.2029622802511035,0.5594075746247877,2.163271574803453,-0.5483590826115652,1.4272694049714805,1.2313435931073313,2.7333318259225385,1.3905037024197424,2.9132606947635358,-1.2228569520272257,2.4185742929647325,-0.16432269704916008,0.09055527933873798,0.2224827400554284,0.673182432278933,-0.4238248897682073,-0.1072266940196668,-1.6180027464754063,-1.1768479777906617,-1.5327927285259377,-1.0556131767303236,-1.1323244591781687,-0.2496998158192612,-0.4565651425517641,-0.5236920519052871,-1.0380764833192342,-1.1164312026221546,0.3933558792031133,0.257436029718762,0.08325840638441141,-0.14485347577503924,0.11063977992736372,-0.1302841765423057,-1.864904366117482,-2.2675493677795577
