rep,ridge_cw_zero,ridge_cw_mean,ridge_cw_mean_nw,ridge_dm_zero,gbm_cw_zero,gbm_cw_mean,gbm_cw_mean_nw,gbm_dm_zero,mean_cw_zero
0,0.568284277006605,0.5525972995974242,0.5310839114087051,2.327669419065486,-0.256738372561233,-0.3077426557455225,-0.3097020226920549,1.853894503270798,-0.06454911819844425
1,0.6489162733101123,-0.19739212092431085,-0.1826307166048881,1.7655001178964957,2.359039214520723,1.5661515842636538,1.6937466411159952,-0.5847435630108251,2.0438651056243886
2,-1.1460825988364545,-1.1887938416853854,-1.3006139769495053,3.2425530293383615,-1.8491103188208087,-1.9625745176363905,-2.1188382595495634,2.499832425134786,-0.22995586007790889
3,-0.7020470187396892,-1.7091340160995876,-1.6733243573552659,2.6991185379084843,0.2748148284581665,-1.2448214243060272,-1.398581456953678,1.3397421054338616,1.7058951938143314
4,1.0993490273371869,1.310925614717623,1.2145212929513904,1.2769806020285885,-0.1782647279001944,-0.019087747339484807,-0.019833365028825895,1.8158934229962995,-0.2779182945438623
5,-0.2947028212090859,-0.8621072445251056,-0.8184321969295165,2.5583541754508348,0.6432148151380623,-0.27079394675153495,-0.24661182384872773,1.0490435497749697,1.9492434016259121
6,0.213115655923362,-0.1227552053391878,-0.12582499200333003,1.6576741884977908,-0.14121741380239475,-0.5970890718412648,-0.594786375798835,1.6287785362137606,0.7119129029325291
7,0.9594289560958186,0.8406867064410529,0.8193802080734252,3.153359024181463,-0.3930336398174954,-0.46066720399773,-0.46682927452292416,2.06292977022875,-0.12787530445488823
8,-0.08163109313518603,-0.20518027811987177,-0.19560167725820155,3.294498567898381,0.20279873106480384,0.33825019170242276,0.38128220693906256,1.3291848656899419,-0.2400682214818396
9,-1.5853784631441448,-1.7005205885118664,-1.6736285369698298,3.241000609275968,-1.0201300885908413,-1.058334612933478,-1.0199699462595753,2.743400462019339,-0.4766442023007815
10,-2.214987411580273,-2.1094796426921354,-2.0631946509385117,4.222069328163571,-0.36226042546914616,-0.2367713915280968,-0.2504516848320578,1.3147332387778572,-0.9970429143253435
11,-0.4822748067604145,-1.0870147977528082,-1.157591784262131,2.5982977780140093,-1.4344494087724369,-1.9953012549454066,-1.8588513157066011,2.8280305130383905,0.8694643958816703
12,-0.35653300200337046,-0.6363417995947008,-0.6587411269488118,2.1222913375286327,-0.09953732432582763,-0.3927451455717773,-0.3954720529149606,1.734381952409454,1.322347964780195
13,0.9042101721326531,0.8882615001204386,0.8649284609625508,1.6015554051298453,1.0769266370802808,1.1089328415668218,1.1407657928673145,0.7113323078948507,0.042782223100042246
14,0.997919636841407,1.043683707734237,1.1060457957719951,2.2535125915230023,0.0576362509738695,-0.9074811738916441,-0.9209966851147866,1.3874354181791309,0.3086768867888698
15,-1.8240819152797876,-2.0992420507918066,-1.9024638682211976,3.548294475090037,0.3713914262149147,0.39758361574035966,0.36370084322596474,1.4634295379858981,-0.01626335607396854
16,-0.22890256822111213,-0.786955047282132,-0.8479627471320492,2.7030783124696653,1.9602874300006805,1.101424878846329,1.2502234502228635,-0.29290606091587107,1.6286738090174493
17,1.3009692217339732,-0.052280534533666184,-0.05419557790541776,2.211622738099202,2.4012018117044587,1.1214731956891943,1.303733708466423,0.5391068373795138,2.114230607837895
18,-0.9703467245331192,-0.8644290652738323,-0.8050629430864737,2.768305981065519,0.6729149317076721,0.8868597211692663,0.8152847690734579,0.7629316262681629,-0.9545684750081594
19,0.3856114987386373,0.4492853378338762,0.43494938496413715,1.9387775448552786,0.5634780077633995,0.7645544723355797,0.7993232781803682,1.620351502468428,-0.28674371944110844
20,0.3926704177364348,0.4805646818003551,0.5112826743677803,2.375636353820647,-0.1336317279179275,0.15348486809641354,0.16374472805343196,1.719236278403481,-1.3194246048322793
21,-1.2665097778444743,-0.9911835340498822,-1.0253496814649865,3.2697520414993804,-0.6811855049118449,-0.3345578719701048,-0.3506705762342805,1.832663069581345,-1.0438084676591286
22,-0.2184733435842783,-0.41152408868582013,-0.3929461931791537,2.671756716950146,-0.2157570223696957,-0.20798369930192007,-0.1823013185111937,1.783773396070306,-0.2581572087655057
23,0.7110499087688618,0.71921981417589,0.7412228139629923,1.9207096457844814,-0.5852373928339893,-0.6197170171360977,-0.6822883455730098,1.654849432269174,-0.033847564115300724
24,1.1468728632423446,-0.2224790856451229,-0.2265685856838563,1.2738000044818705,1.6661407539783584,0.2397090433749756,0.2675293192774026,-0.21582203248913506,2.548795080437037
25,-0.3604660972661578,-0.29764724735271564,-0.316265667496489,3.196235307604703,0.8524783810484678,1.033019101033973,1.088916010911365,1.1299889532856573,-0.9985058084523942
26,1.2559805022811923,-1.010414355373727,-1.027902882923174,1.3654732613565228,2.518706718764489,0.23689671376870597,0.23385309018157574,-0.553100008572598,3.2129412112487845
27,-0.9451203713110434,-0.7719780491053188,-0.7695968130535876,3.9064131244685525,-0.46615341030802643,-0.272231856600734,-0.2677995761463482,2.376449455074503,-1.425720725587593
28,1.5117188919598192,0.03643298317183724,0.03824551412518191,1.2069183656723175,1.668884459896718,-0.9241035332186256,-1.0798160255311127,1.492224144105004,1.991505435577299
29,-1.3019358551894864,-1.5233524034600192,-1.5878299137815985,3.4343351610773585,0.3796971494103055,0.27626930447250375,0.2998014744720118,0.9863004020697788,0.2757936292565024
30,0.9506158425968649,1.0545624753161265,1.0772567889240492,1.8269263892918668,-0.62050090518227,-0.47265007689901584,-0.4940531577568652,2.2093834885365347,-0.38805375297815664
31,-0.2562123929936307,-1.1252220161545807,-1.2228541670821336,2.3923095885190526,2.18231956877907,1.49533138569919,1.353762027089357,0.30914211451466345,1.4046452482834721
32,1.436243461241873,0.5410897263542332,0.5167997861356095,0.9588983528834258,1.8362070981860443,0.8605015362363528,0.7478620294906634,0.19225548982814383,1.6461131381287186
33,2.108927931816332,1.4264107146857519,1.4548833562433972,0.8511237891918316,0.11729520905841666,-1.1876135316890493,-1.2483782986499476,2.0407665324538136,1.6274902182117224
34,0.2555251515637114,0.19876623001267016,0.19523833526130457,2.054925249312465,0.03809938868184919,-0.07204390205641864,-0.07043820660672201,1.8598913416861516,0.3579402165450389
35,1.5179251537991287,0.7880426303048769,0.8432741905118571,2.0028849669665116,1.5702533967289913,0.08897635816543668,0.1101041962931752,0.23778723892427706,1.7980141093379323
36,-1.3732121653292484,-1.3770994830815517,-1.3709222916347097,2.975148535749934,-0.898739288021153,-0.8037475715128285,-0.7400442403907892,2.350096648512825,-0.7224117768691711
37,-1.3667368032905305,-1.608277302446719,-1.5965342129974607,4.5234190175989015,-0.05958468579463015,-0.1911174358535603,-0.20785606343259505,1.60327468244209,-0.22829621492102495
38,2.2144083991683936,0.9290095274301494,0.9128520110931677,0.7159499567941681,2.545642229809369,0.6628680655804438,0.6229413804427416,-0.40122255358139247,2.6385439972829174
39,0.15968384331677368,0.249474894295034,0.26906310695566554,1.5119010707221028,0.9625842538477705,1.0439971875192406,1.0033529682335185,0.6210699537826511,-0.3182802104988742
40,-1.196453312237003,-1.198702489761556,-1.1718005401499154,3.279577939912301,-0.15637472602022037,-0.1609909063511597,-0.16113122165237204,1.7759623549008245,-0.11353699889865569
41,-0.08873000141942684,-0.9487481246493907,-1.008902328695902,3.5185749439533613,1.237206355049742,0.5459360638845813,0.5824508235749059,0.7293694386934897,1.0677343982345822
42,-0.12230331197189188,-0.08455763388566497,-0.0930701420280434,2.6070251546931194,-1.0745784966325498,-0.9283710921841818,-0.9098129068277325,2.3596105945889936,-0.5337336567227026
43,1.6754592769669139,1.3748467414270653,1.3949949459497266,1.541796723633422,0.14526191890086912,-0.31070873972336344,-0.33190228488623996,1.1238996413125184,0.8674891920813294
44,0.16609345731156966,-0.15955826099488296,-0.16979564765824762,2.124730241572412,0.4874355477591558,0.275097793058799,0.2387625553501068,0.9614427574615881,1.0073904227106476
45,2.193844348894085,1.696582610199357,1.8272212451343643,0.06126174575150969,2.1761658711639917,1.5325216068905696,1.8072116133787626,0.013525872022850544,1.667496937189623
46,2.2421405920008786,1.6814819166512311,1.7258554288218282,1.0299463494714958,1.5730723776401978,0.36903654094378413,0.3705300450807457,0.2566718253227161,2.1829083876502704
47,0.6540340563112591,-0.4657547713279652,-0.4552822483845658,1.9407493221416412,1.205345211739078,-0.19257625330151307,-0.21911574454347166,1.1173822655574226,1.4012735063886859
48,1.2278243848018948,1.0559914816511151,1.0646094569045994,1.1439059633270285,0.25961364196287134,-0.04554239580331937,-0.04976278154653146,0.6303427584943944,0.44023785857840847
49,-0.5314440849062414,-0.41786396309138557,-0.4367964278084514,3.246127656317838,-0.42022919114119667,-0.22776228430207424,-0.22704361592814878,2.227251575244187,-0.798478370836787
50,2.5618318868722056,2.4189235236947804,2.4378550040051294,0.35935845821194146,0.9301205294230146,0.683091190303939,0.7441733737071048,0.42483996644189553,0.8978629372773329
51,-1.3362914045175043,-1.6351939143515626,-1.8460250695286187,3.4251811852123546,0.49445087981234054,0.13705763501106766,0.13265183619042692,1.1568166376402518,0.318650183639943
52,-2.0235479347254395,-1.628985046674169,-1.6517316624213148,4.290687798380818,0.5772414667557518,0.8715544280898995,0.7061885932179846,0.4776393522552082,-1.4402171736939362
53,-0.22127390397276128,-1.2266049189584156,-1.29083486746392,2.4589952714511556,1.0165597630910508,-0.05636394220049359,-0.05826491192557263,0.5704947441300974,1.3591006899696394
54,0.6066540784598841,-0.3572104603566376,-0.366652834436713,2.0545689244371848,-0.083637344401001,-2.6493035548677493,-2.5806991005480073,2.0212057910974486,1.520102825995988
55,1.516155047821176,1.2566442501346933,1.163931879649404,1.5298956986864805,-0.3144417541114064,-0.9012469085191691,-0.7219655074988123,2.0289611615626075,0.8425601846931853
56,-0.6089827134609223,-0.7770213906045631,-0.6930154199288754,2.471704604793431,-0.08815381233702087,-0.30029363874893406,-0.306080256103417,1.4513115764992084,0.403444226730243
57,-0.48058856168224656,-0.3201099706740289,-0.32116752803596166,3.0872876480463907,0.19430726555860925,0.705824110085599,0.6919137912524538,0.8496007690893038,-1.9735320421784945
58,0.7414589166157484,0.34130568323512805,0.40635792987456815,1.885125381336473,2.7224962395855026,2.3698020547600875,2.445194767852243,-0.7749338370958879,1.3800472864828512
59,-0.550450990079472,-0.47960914783514563,-0.45016269178191587,2.0377084488062054,-0.23270838257864723,-0.010328983908137144,-0.009409519447349551,1.5383622608972236,-0.3350560503359414
