asset,horizon,model,oos_start,oos_end,n_oos,rmse,r2_oos,r2_vs_sample_mean,dir_acc,rank_ic,dm_stat,dm_p_vs_rw,cw_stat,cw_p_vs_rw,cw_stat_vs_mean,cw_p_vs_mean,pt_stat,pt_p,sign_excess,sign_p,sharpe_phase_lo,sharpe_phase_hi,dsr,n_trials,sharpe_net,sharpe_lo,sharpe_hi,max_dd,psr,trades,cw_p_holm,cw_p_bh
BTC,1,random_walk,2020-07-23,2026-07-16,2185.0,0.030096334190443445,0.000540007389680075,-0.0008333070125559061,,,,,,,1.3787887028829893,0.08397995542880254,,,,,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,,0,,
BTC,1,historical_mean,2020-07-23,2026-07-16,2185.0,0.03010446360448195,0.0,-0.001374056402847268,0.505720823798627,0.0015497559215002425,0.17629835447424896,0.8600759000652048,1.0272458673133276,0.15215235257249615,,,,,,,0.8379552749703921,0.8379552749703921,0.8167784499874302,6.0,0.8391981639596127,0.01979523286145069,1.6837936854288413,-0.7663456370856909,0.9800573084838639,1,,
BTC,1,ar1,2020-07-23,2026-07-16,2185.0,0.030123337902713335,-0.0012543133267954865,-0.002630093226900554,0.5130434782608696,0.03317489288186946,0.33586942445122486,0.7370015970424547,1.241909167464324,0.10713503864997143,0.8645123920378268,0.19365323793963563,1.2340814680344083,0.21717254833664157,0.008767915211369437,0.20839580209895053,0.21020095694409693,0.21020095694409693,0.19539732055381304,6.0,0.11951611349375972,-0.6656728710024263,0.9008852121059203,-0.832281811134273,0.6149852489361507,486,,
BTC,1,ridge,2020-07-23,2026-07-16,2185.0,0.030222898217690218,-0.007883720024908225,-0.009268609103733949,0.5066361556064073,0.04904749028599367,0.7605175543998711,0.44702737491511657,2.621695973658112,0.004374672157796855,2.6646291175997563,0.003853663628748727,0.537140730522793,0.5911704079763136,0.0056595573103487284,0.623688155922039,0.5095034920039749,0.5095034920039749,0.04243761733439638,6.0,-0.2343243312402066,-1.071851392232323,0.5648929028065379,-0.9389571367495796,0.28333637576603077,496,0.07874409884034339,0.045827424273012785
BTC,1,elastic_net,2020-07-23,2026-07-16,2185.0,0.030057920503110798,0.003089716058553571,0.001719905099839436,0.5043478260869565,0.046342302098194066,-0.46270020593933703,0.6436253662417961,2.569522696284648,0.005091936030334754,2.666613735555522,0.0038309838123651296,0.2310372156736877,0.8172858901127444,0.0023082280370112507,0.8085957021489255,0.3251214566627324,0.3251214566627324,0.15658586042418526,6.0,0.05778421592363452,-0.7031305168209172,0.786672810510984,-0.7721044150208279,0.5561670623174103,538,0.08656291251569082,0.045827424273012785
BTC,1,gbm,2020-07-23,2026-07-16,2185.0,0.030093530720147237,0.0007261978993170493,-0.0006468606666569787,0.5011441647597255,0.019208853948023324,-0.0378606136135005,0.9698022765000052,2.0165146891603984,0.021873091888893526,1.7467624725476198,0.04033927434109286,-0.3884437404957671,0.6976876802079686,-0.0029219402101912095,0.7076461769115442,0.2227707622283292,0.2227707622283292,0.22144565496892205,6.0,0.15640302625751465,-0.7017864472252164,1.020995229871006,-0.8849332923191741,0.6488608791722799,207,0.3499694702222964,0.13123855133336115
BTC,1,buy_and_hold,,,,,,,,,,,,,,,,,,,,,,,0.8391981639596127,0.01979523286145069,1.6837936854288413,-0.7663456370856909,0.9800573084838639,1,,
BTC,7,random_walk,2020-07-29,2026-07-10,2173.0,0.08037767949197683,0.007239481462062436,-0.004864773654771337,,,,,,,1.8018124888911216,0.035787456076953106,,,,,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,,0,,
BTC,7,historical_mean,2020-07-29,2026-07-10,2173.0,0.0806702151689809,0.0,-0.012192522658596383,0.5287620800736309,-0.018087429874268243,0.40497304031765924,0.6855372083846236,1.011775767421133,0.15582263945268182,,,,,,,0.7770558108463209,0.8025957735637772,0.8463046667525718,6.0,0.7994882626451225,-0.006079221508906559,1.6440487360511569,-0.7663456370856909,0.9745115827855952,1,,
BTC,7,ar1,2020-07-29,2026-07-10,2173.0,0.08068002375679667,-0.00024319221417745673,-0.012438679999355662,0.5287620800736309,-0.02319746320474071,0.4198036710224375,0.6746704034175649,1.000140286913362,0.15862131098643273,-0.3561179165179626,0.6391238699017852,,,,,0.7770558108463209,0.8025957735637772,0.8463046667525718,6.0,0.7994882626451225,-0.006079221508906559,1.6440487360511569,-0.7663456370856909,0.9745115827855952,1,,
